Protein	gene	Indistinguishable.Proteins	Description	ko_id
17099	P27250	MEGAHIT-MetaBAT2-S960.192_contig_80443_22		rank: C;heat shock protein HslJ (db=kegg)	K03668
17100	P27251	MEGAHIT-MetaBAT2-S960.192_contig_80443_23		rank: C;long-chain fatty acid transport protein (db=kegg)	K06076
17101	P27254	MEGAHIT-MetaBAT2-S960.192_contig_80444_104		rank: D;Amino acid kinase family [PF00696.33];ACT domain [PF22468.1] (db=pfam)	NA
17102	P27255	MEGAHIT-MetaBAT2-S960.192_contig_80444_109	MEGAHIT-MetaBAT2-S966.83_contig_5899650_4	rank: C;MoxR-like ATPase [EC:3.6.3.-] (db=kegg)	K03924
17103	P27256	MEGAHIT-MetaBAT2-S960.192_contig_80444_122		rank: C;valyl-tRNA synthetase [EC:6.1.1.9] (db=kegg)	K01873
17104	P27257	MEGAHIT-MetaBAT2-S960.192_contig_80444_125		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
17105	P27258	MEGAHIT-MetaBAT2-S960.192_contig_80444_128	MEGAHIT-MetaBAT2-S966.83_contig_5899543_4	rank: C;trigger factor (db=kegg)	K03545
17106	P27259	MEGAHIT-MetaBAT2-S960.192_contig_80444_130		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)	K03544
17107	P27260	MEGAHIT-MetaBAT2-S960.192_contig_80444_135		rank: C;long-chain fatty acid transport protein (db=kegg)	K06076
17108	P27261	MEGAHIT-MetaBAT2-S960.192_contig_80444_2		rank: D;Peptidase M60, enhancin and enhancin-like [PF13402.11] (db=pfam)	NA
17109	P27263	MEGAHIT-MetaBAT2-S960.192_contig_80444_26	MEGAHIT-MetaBAT2-S966.83_contig_5899530_1	rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)	K00688
17110	P27264	MEGAHIT-MetaBAT2-S960.192_contig_80444_3		rank: D;Leucine-rich repeat [PF14580.11];Domain of unknown function (DUF6383) [PF19910.4] (db=pfam)	NA
17111	P27265	MEGAHIT-MetaBAT2-S960.192_contig_80444_31		rank: D;Domain of unknown function (DUF4270) [PF14092.11] (db=pfam)	NA
17112	P27266	MEGAHIT-MetaBAT2-S960.192_contig_80444_35	MEGAHIT-MetaBAT2-S966.83_contig_5899434_1	rank: C;small subunit ribosomal protein S16 (db=kegg)	K02959
17113	P27270	MEGAHIT-MetaBAT2-S960.192_contig_80444_61		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
17114	P27272	MEGAHIT-MetaBAT2-S960.192_contig_80444_80		rank: C;DNA gyrase subunit A [EC:5.6.2.2] (db=kegg)	K02469
17115	P27275	MEGAHIT-MetaBAT2-S960.192_contig_80444_89	MEGAHIT-MetaBAT2-S966.83_contig_5899723_2	rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)	K01923
17116	P27277	MEGAHIT-MetaBAT2-S960.192_contig_80444_94		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)	K00895
17117	P27280	MEGAHIT-MetaBAT2-S960.192_contig_80446_4		rank: C;large subunit ribosomal protein L25 (db=kegg)	K02897
17118	P27281	MEGAHIT-MetaBAT2-S960.192_contig_80446_7		rank: D;Polysaccharide biosynthesis protein [PF02719.20];GDP-mannose 4,6 dehydratase [PF16363.10];NAD dependent epimerase/dehydratase family [PF01370.26];RmlD substrate binding domain [PF04321.22];3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.24];KR domain [PF08659.15];Male sterility protein [PF07993.17] (db=pfam)	NA
17119	P27282	MEGAHIT-MetaBAT2-S960.192_contig_80447_1		rank: C;lysyl-tRNA synthetase, class II [EC:6.1.1.6] (db=kegg)	K04567
17120	P27284	MEGAHIT-MetaBAT2-S960.192_contig_80448_101		rank: C;NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2] (db=kegg)	K13378
17121	P27285	MEGAHIT-MetaBAT2-S960.192_contig_80448_102	group7_bins.282_contig_1678208_207	rank: D;NADH dehydrogenase [PF00146.26] (db=pfam)	NA
17122	P27286	MEGAHIT-MetaBAT2-S960.192_contig_80448_106		rank: C;NADH-quinone oxidoreductase subunit L [EC:7.1.1.2] (db=kegg)	K00341
17123	P27287	MEGAHIT-MetaBAT2-S960.192_contig_80448_108		rank: C;NADH-quinone oxidoreductase subunit N [EC:7.1.1.2] (db=kegg)	K00343
17124	P27288	MEGAHIT-MetaBAT2-S960.192_contig_80448_113		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
17125	P27289	MEGAHIT-MetaBAT2-S960.192_contig_80448_114		rank: C;biopolymer transport protein ExbD (db=kegg)	K03559
17126	P27290	MEGAHIT-MetaBAT2-S960.192_contig_80448_115		rank: C;biopolymer transport protein ExbD (db=kegg)	K03559
17127	P27291	MEGAHIT-MetaBAT2-S960.192_contig_80448_116		rank: C;periplasmic protein TonB (db=kegg)	K03832
17128	P27293	MEGAHIT-MetaBAT2-S960.192_contig_80448_118		rank: E	NA
17129	P27295	MEGAHIT-MetaBAT2-S960.192_contig_80448_120	MEGAHIT-MetaBAT2-S966.83_contig_5899476_15	rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	K00925
17130	P27296	MEGAHIT-MetaBAT2-S960.192_contig_80448_125		rank: E	NA
17131	P27298	MEGAHIT-MetaBAT2-S960.192_contig_80448_14		rank: C;large subunit ribosomal protein L19 (db=kegg)	K02884
17132	P27299	MEGAHIT-MetaBAT2-S960.192_contig_80448_17	MEGAHIT-MetaBAT2-S966.83_contig_5899432_6	rank: C;rubrerythrin (db=kegg)	K19824
17133	P27300	MEGAHIT-MetaBAT2-S960.192_contig_80448_20	MEGAHIT-MetaBAT2-S966.83_contig_5899515_1	rank: C;beta-galactosidase [EC:3.2.1.23] (db=kegg)	K01190
17134	P27301	MEGAHIT-MetaBAT2-S960.192_contig_80448_26		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
17135	P27302	MEGAHIT-MetaBAT2-S960.192_contig_80448_28		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	K01872
17136	P27303	MEGAHIT-MetaBAT2-S960.192_contig_80448_3		rank: C;dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (db=kegg)	K01710
17137	P27304	MEGAHIT-MetaBAT2-S960.192_contig_80448_30		rank: C;HSP20 family protein (db=kegg)	K13993
17138	P27305	MEGAHIT-MetaBAT2-S960.192_contig_80448_31		rank: D;Nucleotidyl transferase [PF00483.28] (db=pfam)	NA
17139	P27308	MEGAHIT-MetaBAT2-S960.192_contig_80448_39		rank: C;malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (db=kegg)	K00029
17140	P27309	MEGAHIT-MetaBAT2-S960.192_contig_80448_40		rank: C;galactokinase [EC:2.7.1.6] (db=kegg)	K00849
17141	P27310	MEGAHIT-MetaBAT2-S960.192_contig_80448_6	MEGAHIT-MetaBAT2-S966.83_contig_5899444_2	rank: C;large subunit ribosomal protein L21 (db=kegg)	K02888
17142	P27311	MEGAHIT-MetaBAT2-S960.192_contig_80448_66		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
17143	P27312	MEGAHIT-MetaBAT2-S960.192_contig_80448_69	MEGAHIT-MetaBAT2-S966.83_contig_5899532_6	rank: D;Response regulator receiver domain [PF00072.29];Transcriptional regulatory protein, C terminal [PF00486.33] (db=pfam)	NA
17144	P27313	MEGAHIT-MetaBAT2-S960.192_contig_80448_7	MEGAHIT-MetaBAT2-S966.83_contig_5899444_3	rank: C;large subunit ribosomal protein L27 (db=kegg)	K02899
17145	P27314	MEGAHIT-MetaBAT2-S960.192_contig_80448_82		rank: C;nicotinamide-nucleotide amidase [EC:3.5.1.42] (db=kegg)	K03743
17146	P27315	MEGAHIT-MetaBAT2-S960.192_contig_80448_86		rank: C;alpha-L-fucosidase 2 [EC:3.2.1.51] (db=kegg)	K15923
17147	P27316	MEGAHIT-MetaBAT2-S960.192_contig_80448_88	MEGAHIT-MetaBAT2-S966.83_contig_5899616_6	rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)	K00088
17148	P27317	MEGAHIT-MetaBAT2-S960.192_contig_80448_93		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
17149	P27318	MEGAHIT-MetaBAT2-S960.192_contig_80448_98		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)	K01835
17150	P27319	MEGAHIT-MetaBAT2-S960.192_contig_80449_7		rank: D;Tubulin like [PF13809.11] (db=pfam)	NA
17151	P27320	MEGAHIT-MetaBAT2-S960.199_contig_6796883_24		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02111
17152	P27321	MEGAHIT-MetaBAT2-S960.199_contig_6796898_1	MEGAHIT-MetaBAT2-S960.199_contig_6796971_1	rank: D;Bacterial flagellin N-terminal helical region [PF00669.25] (db=pfam)	NA
17153	P27322	MEGAHIT-MetaBAT2-S960.199_contig_6796900_3		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
17154	P27323	MEGAHIT-MetaBAT2-S960.199_contig_6796901_10		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
17155	P27324	MEGAHIT-MetaBAT2-S960.199_contig_6796901_7		rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)	K01689
17156	P27326	MEGAHIT-MetaBAT2-S960.199_contig_6796920_17		rank: C;flagellin (db=kegg)	K02406
17157	P27328	MEGAHIT-MetaBAT2-S960.199_contig_6796933_22		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
17158	P27332	MEGAHIT-MetaBAT2-S960.199_contig_6796937_5		rank: C;arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein (db=kegg)	K15770
17159	P27334	MEGAHIT-MetaBAT2-S960.199_contig_6796941_30		rank: C;elongation factor Tu (db=kegg)	K02358
17160	P27335	MEGAHIT-MetaBAT2-S960.199_contig_6796943_23		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)	K00016
17161	P27336	MEGAHIT-MetaBAT2-S960.199_contig_6796945_7		rank: C;D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168] (db=kegg)	K07031
17162	P27338	MEGAHIT-MetaBAT2-S960.199_contig_6796958_23		rank: C;mannose PTS system EIIA component [EC:2.7.1.191] (db=kegg)	K02793
17163	P27341	MEGAHIT-MetaBAT2-S960.199_contig_6796967_3		rank: C;pyruvate kinase [EC:2.7.1.40] (db=kegg)	K00873
17164	P27342	MEGAHIT-MetaBAT2-S960.199_contig_6796977_3		rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)	K01223
17165	P27346	MEGAHIT-MetaBAT2-S960.200_contig_236421_1		rank: D;ABC transporter [PF00005.32] (db=pfam)	NA
17166	P27347	MEGAHIT-MetaBAT2-S960.200_contig_236430_2		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
17167	P27348	MEGAHIT-MetaBAT2-S960.200_contig_236488_4		rank: C;elongation factor Tu (db=kegg)	K02358
17168	P27350	MEGAHIT-MetaBAT2-S960.208_contig_413915_2		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
17169	P27352	MEGAHIT-MetaBAT2-S960.208_contig_413918_9		rank: E	NA
17170	P27354	MEGAHIT-MetaBAT2-S960.208_contig_413934_2		rank: C;elongation factor Tu (db=kegg)	K02358
17171	P27355	MEGAHIT-MetaBAT2-S960.208_contig_413935_17	MEGAHIT-MetaBAT2-S962.8_contig_3133039_3	rank: C;ribose transport system substrate-binding protein (db=kegg)	K10439
17172	P27356	MEGAHIT-MetaBAT2-S960.208_contig_413935_9	MEGAHIT-MetaBAT2-S962.8_contig_3133009_20	rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)	K07699
17173	P27359	MEGAHIT-MetaBAT2-S960.208_contig_413957_3		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
17174	P27361	MEGAHIT-MetaBAT2-S960.208_contig_413975_1	MEGAHIT-MetaBAT2-S962.8_contig_3132857_7	rank: D;Domain of unknown function (DUF4349) [PF14257.11] (db=pfam)	NA
17175	P27363	MEGAHIT-MetaBAT2-S960.208_contig_413975_39		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
17176	P27364	MEGAHIT-MetaBAT2-S960.208_contig_413975_4		rank: D;Formate--tetrahydrofolate ligase [PF01268.24] (db=pfam)	NA
17177	P27365	MEGAHIT-MetaBAT2-S960.208_contig_413975_9		rank: C;acetyl-CoA synthase [EC:2.3.1.169] (db=kegg)	K14138
17178	P27366	MEGAHIT-MetaBAT2-S960.208_contig_413986_1		rank: E	NA
17179	P27367	MEGAHIT-MetaBAT2-S960.208_contig_413986_11	MEGAHIT-MetaBAT2-S962.8_contig_3132861_1	rank: D;L-fucose isomerase, C-terminal domain [PF02952.22] (db=pfam)	NA
17180	P27368	MEGAHIT-MetaBAT2-S960.208_contig_413986_15		rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)	K10540
17181	P27370	MEGAHIT-MetaBAT2-S960.208_contig_413998_6		rank: D;Periplasmic binding protein domain [PF13407.11] (db=pfam)	NA
17182	P27371	MEGAHIT-MetaBAT2-S960.208_contig_414005_14		rank: C;hydroxylamine reductase [EC:1.7.99.1] (db=kegg)	K05601
17183	P27374	MEGAHIT-MetaBAT2-S960.208_contig_414015_13		rank: C;precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271] (db=kegg)	K05936
17184	P27376	MEGAHIT-MetaBAT2-S960.208_contig_414021_2		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
17185	P27377	MEGAHIT-MetaBAT2-S960.208_contig_414021_7	MEGAHIT-MetaBAT2-S962.8_contig_3132915_46	rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
17186	P27379	MEGAHIT-MetaBAT2-S960.208_contig_414022_9		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
17187	P27381	MEGAHIT-MetaBAT2-S960.208_contig_414036_15		rank: D;5'-nucleotidase, C-terminal domain [PF02872.23];S-layer homology domain [PF00395.25] (db=pfam)	NA
17188	P27383	MEGAHIT-MetaBAT2-S960.208_contig_414044_6		rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)	K01737
17189	P27386	MEGAHIT-MetaBAT2-S960.208_contig_414060_9		rank: C;DNA mismatch repair protein MutS (db=kegg)	K03555
17190	P27387	MEGAHIT-MetaBAT2-S960.208_contig_414075_1		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
17191	P27388	MEGAHIT-MetaBAT2-S960.208_contig_414075_8		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
17192	P27391	MEGAHIT-MetaBAT2-S960.208_contig_414079_16		rank: D;Periplasmic binding protein domain [PF13407.11] (db=pfam)	NA
17193	P27393	MEGAHIT-MetaBAT2-S960.208_contig_414081_1		rank: E	NA
17194	P27395	MEGAHIT-MetaBAT2-S960.208_contig_414104_1		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
17195	P27396	MEGAHIT-MetaBAT2-S960.208_contig_414110_1		rank: D;Beta-eliminating lyase [PF01212.26] (db=pfam)	NA
17196	P27397	MEGAHIT-MetaBAT2-S960.208_contig_414115_5		rank: C;spore germination protein KA (db=kegg)	K06295
17197	P27399	MEGAHIT-MetaBAT2-S960.208_contig_414129_2		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
17198	P27400	MEGAHIT-MetaBAT2-S960.208_contig_414133_19		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
17199	P27403	MEGAHIT-MetaBAT2-S960.208_contig_414152_4		rank: C;anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] (db=kegg)	K00198
17200	P27404	MEGAHIT-MetaBAT2-S960.208_contig_414155_8		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
17201	P27409	MEGAHIT-MetaBAT2-S960.65_contig_2929565_2		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
17202	P27413	MEGAHIT-MetaBAT2-S960.65_contig_2929841_1		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
17203	P27418	MEGAHIT-MetaBAT2-S960.89_contig_3674223_4		rank: D;3-keto-disaccharide hydrolase [PF06439.17] (db=pfam)	NA
17204	P27421	MEGAHIT-MetaBAT2-S960.89_contig_3674276_1		rank: D;Oxidoreductase family, C-terminal alpha/beta domain [PF19051.5] (db=pfam)	NA
17205	P27422	MEGAHIT-MetaBAT2-S960.89_contig_3674276_2		rank: D;Xylose isomerase-like TIM barrel [PF01261.29] (db=pfam)	NA
17206	P27423	MEGAHIT-MetaBAT2-S960.89_contig_3674279_5		rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
17207	P27428	MEGAHIT-MetaBAT2-S960.89_contig_3674451_1		rank: E	NA
17208	P27431	MEGAHIT-MetaBAT2-S961.20_contig_4773461_1		rank: D;Carbon starvation protein CstA [PF02554.19] (db=pfam)	NA
17209	P27432	MEGAHIT-MetaBAT2-S961.20_contig_4773461_19		rank: C;carboxybiotin decarboxylase [EC:7.2.4.1] (db=kegg)	K20509
17210	P27433	MEGAHIT-MetaBAT2-S961.20_contig_4773461_23		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
17211	P27434	MEGAHIT-MetaBAT2-S961.20_contig_4773463_12		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
17212	P27435	MEGAHIT-MetaBAT2-S961.20_contig_4773464_11		rank: C;elongation factor G (db=kegg)	K02355
17213	P27437	MEGAHIT-MetaBAT2-S961.20_contig_4773466_2	MEGAHIT-MetaBAT2-S983.160_contig_1010666_2	rank: C;small subunit ribosomal protein S10 (db=kegg)	K02946
17214	P27440	MEGAHIT-MetaBAT2-S961.20_contig_4773479_25		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
17215	P27442	MEGAHIT-MetaBAT2-S961.20_contig_4773481_2		rank: D;Dihydrodipicolinate synthetase family [PF00701.27] (db=pfam)	NA
17216	P27444	MEGAHIT-MetaBAT2-S961.20_contig_4773483_23		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
17217	P27446	MEGAHIT-MetaBAT2-S961.20_contig_4773488_33		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
17218	P27447	MEGAHIT-MetaBAT2-S961.20_contig_4773488_6		rank: C;sirohydrochlorin cobaltochelatase [EC:4.99.1.3] (db=kegg)	K02190
17219	P27448	MEGAHIT-MetaBAT2-S961.20_contig_4773490_1		rank: D;Phosphate acetyl/butaryl transferase [PF01515.24] (db=pfam)	NA
17220	P27449	MEGAHIT-MetaBAT2-S961.20_contig_4773494_1	MEGAHIT-MetaBAT2-S962.24_contig_2292163_15, MEGAHIT-MetaBAT2-S968.13_contig_6351481_5, MEGAHIT-MetaBAT2-S970.191_contig_2451106_1, MEGAHIT-MetaBAT2-S972.40_contig_3573463_2, MEGAHIT-MetaBAT2-S978.150_contig_345465_11, MEGAHIT-MetaBAT2-S983.160_contig_1010805_6, MEGAHIT-MetaBAT2-S993.160_contig_3109620_3, MEGAHIT-MetaBAT2-S993.160_contig_3109782_1	rank: C;peptide chain release factor 2 (db=kegg)	K02836
17221	P27451	MEGAHIT-MetaBAT2-S961.20_contig_4773496_13	MEGAHIT-MetaBAT2-S972.40_contig_3573442_4, MEGAHIT-MetaBAT2-S983.160_contig_1010891_2	rank: C;GTPase [EC:3.6.5.-] (db=kegg)	K03979
17222	P27452	MEGAHIT-MetaBAT2-S961.20_contig_4773497_37		rank: D;CobW/HypB/UreG, nucleotide-binding domain [PF02492.24];Cobalamin synthesis protein cobW C-terminal domain [PF07683.19] (db=pfam)	NA
17223	P27454	MEGAHIT-MetaBAT2-S961.20_contig_4773497_46		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
17224	P27456	MEGAHIT-MetaBAT2-S961.20_contig_4773501_5		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)	K01938
17225	P27457	MEGAHIT-MetaBAT2-S961.20_contig_4773504_5		rank: C;rubrerythrin (db=kegg)	K19824
17226	P27461	MEGAHIT-MetaBAT2-S961.20_contig_4773516_6	MEGAHIT-MetaBAT2-S978.150_contig_345526_16	rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
17227	P27462	MEGAHIT-MetaBAT2-S961.20_contig_4773518_10		rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)	K10540
17228	P27463	MEGAHIT-MetaBAT2-S961.20_contig_4773518_14		rank: C;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] (db=kegg)	K00194
17229	P27464	MEGAHIT-MetaBAT2-S961.20_contig_4773518_15		rank: C;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] (db=kegg)	K00197
17230	P27466	MEGAHIT-MetaBAT2-S961.20_contig_4773523_2		rank: D;Methylene-tetrahydrofolate reductase C terminal [PF12225.13] (db=pfam)	NA
17231	P27467	MEGAHIT-MetaBAT2-S961.20_contig_4773523_3		rank: C;methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54] (db=kegg)	K00297
17232	P27470	MEGAHIT-MetaBAT2-S961.20_contig_4773528_1	MEGAHIT-MetaBAT2-S972.40_contig_3573235_2, MEGAHIT-MetaBAT2-S983.160_contig_1010725_8	rank: C;putative tryptophan/tyrosine transport system ATP-binding protein (db=kegg)	K05833
17233	P27472	MEGAHIT-MetaBAT2-S961.20_contig_4773533_10		rank: D;B12 binding domain [PF02310.24];B12 binding domain [PF02607.22] (db=pfam)	NA
17234	P27473	MEGAHIT-MetaBAT2-S961.20_contig_4773533_2		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
17235	P27474	MEGAHIT-MetaBAT2-S961.20_contig_4773533_4	MEGAHIT-MetaBAT2-S968.13_contig_6351444_7, MEGAHIT-MetaBAT2-S970.191_contig_2451083_1	rank: E	NA
17236	P27475	MEGAHIT-MetaBAT2-S961.20_contig_4773535_22		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
17237	P27476	MEGAHIT-MetaBAT2-S961.20_contig_4773535_30		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
17238	P27477	MEGAHIT-MetaBAT2-S961.20_contig_4773535_31	MEGAHIT-MetaBAT2-S968.13_contig_6351424_15, MEGAHIT-MetaBAT2-S978.150_contig_345367_24, MEGAHIT-MetaBAT2-S983.160_contig_1010900_1	rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
17239	P27478	MEGAHIT-MetaBAT2-S961.20_contig_4773535_32		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
17240	P27479	MEGAHIT-MetaBAT2-S961.20_contig_4773541_3		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
17241	P27480	MEGAHIT-MetaBAT2-S961.20_contig_4773541_5	MEGAHIT-MetaBAT2-S968.13_contig_6351587_2, MEGAHIT-MetaBAT2-S978.150_contig_345554_7, MEGAHIT-MetaBAT2-S993.160_contig_3109606_1	rank: C;large conductance mechanosensitive channel (db=kegg)	K03282
17242	P27481	MEGAHIT-MetaBAT2-S961.20_contig_4773549_3		rank: C;HSP20 family protein (db=kegg)	K13993
17243	P27483	MEGAHIT-MetaBAT2-S961.20_contig_4773558_10		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
17244	P27485	MEGAHIT-MetaBAT2-S961.20_contig_4773558_13		rank: C;N-acetylneuraminate lyase [EC:4.1.3.3] (db=kegg)	K01639
17245	P27486	MEGAHIT-MetaBAT2-S961.20_contig_4773558_8		rank: C;N-acylglucosamine 2-epimerase [EC:5.1.3.8] (db=kegg)	K01787
17246	P27488	MEGAHIT-MetaBAT2-S961.20_contig_4773565_12		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
17247	P27490	MEGAHIT-MetaBAT2-S961.20_contig_4773566_4		rank: E	NA
17248	P27491	MEGAHIT-MetaBAT2-S961.20_contig_4773567_8		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
17249	P27492	MEGAHIT-MetaBAT2-S961.20_contig_4773567_9		rank: E	NA
17250	P27493	MEGAHIT-MetaBAT2-S961.20_contig_4773570_6		rank: C;anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] (db=kegg)	K00198
17251	P27494	MEGAHIT-MetaBAT2-S961.20_contig_4773572_2		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
17252	P27498	MEGAHIT-MetaBAT2-S961.20_contig_4773577_6		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03616
17253	P27499	MEGAHIT-MetaBAT2-S961.20_contig_4773581_2		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
17254	P27501	MEGAHIT-MetaBAT2-S961.20_contig_4773585_6		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
17255	P27502	MEGAHIT-MetaBAT2-S961.20_contig_4773585_7		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
17256	P27504	MEGAHIT-MetaBAT2-S961.20_contig_4773587_12	MEGAHIT-MetaBAT2-S962.24_contig_2292196_2, MEGAHIT-MetaBAT2-S972.40_contig_3573469_4, MEGAHIT-MetaBAT2-S978.150_contig_345433_5, MEGAHIT-MetaBAT2-S993.160_contig_3109710_1	rank: C;large subunit ribosomal protein L32 (db=kegg)	K02911
17257	P27505	MEGAHIT-MetaBAT2-S961.20_contig_4773588_5		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
17258	P27506	MEGAHIT-MetaBAT2-S961.20_contig_4773590_3		rank: D;Cytidylate kinase-like family [PF13189.11] (db=pfam)	NA
17259	P27507	MEGAHIT-MetaBAT2-S961.20_contig_4773599_6		rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
17260	P27509	MEGAHIT-MetaBAT2-S961.20_contig_4773601_8	MEGAHIT-MetaBAT2-S978.150_contig_345406_6, MEGAHIT-MetaBAT2-S983.160_contig_1010826_3, MEGAHIT-MetaBAT2-S993.160_contig_3109652_3	rank: C;cell division inhibitor SepF (db=kegg)	K09772
17261	P27510	MEGAHIT-MetaBAT2-S961.20_contig_4773603_30	MEGAHIT-MetaBAT2-S978.150_contig_345410_8, MEGAHIT-MetaBAT2-S993.160_contig_3109609_2	rank: C;cell division transport system ATP-binding protein (db=kegg)	K09812
