Protein	gene	Indistinguishable.Proteins	Description	ko_id
392	P18724	MEGAHIT-MetaBAT2-S938.190_contig_1791577_5		rank: D;Iron only hydrogenase large subunit, C-terminal domain [PF02906.19];NADH-quinone oxidoreductase subunit 3, ferredoxin-like domain [PF22117.1];2Fe-2S iron-sulfur cluster binding domain [PF13510.11];NADH-ubiquinone oxidoreductase-G iron-sulfur binding region [PF10588.14];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF14697.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13187.11];Iron hydrogenase small subunit [PF02256.22] (db=pfam)	NA
393	P18729	MEGAHIT-MetaBAT2-S938.190_contig_1791603_1		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	K01952
394	P18785	MEGAHIT-MetaBAT2-S938.43_contig_1391655_4		rank: E	NA
395	P18862	MEGAHIT-MetaBAT2-S939.26_contig_4447469_8		rank: C;methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27] (db=kegg)	K01499
396	P18982	MEGAHIT-MetaBAT2-S941.86_contig_5776155_2	MEGAHIT-MetaBAT2-S990.131_contig_6877004_32	rank: C;deoxyhypusine synthase [EC:2.5.1.46] (db=kegg)	K00809
397	P19027	MEGAHIT-MetaBAT2-S942.110_contig_6618982_1	MEGAHIT-MetaBAT2-S947.28_contig_2112834_16	rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29] (db=pfam)	NA
398	P19087	MEGAHIT-MetaBAT2-S942.153_contig_5812326_9		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
399	P19277	MEGAHIT-MetaBAT2-S942.31_contig_2232975_1		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
400	P19292	MEGAHIT-MetaBAT2-S942.31_contig_2233007_22		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
401	P19310	MEGAHIT-MetaBAT2-S942.31_contig_2233032_25		rank: E	NA
402	P19355	MEGAHIT-MetaBAT2-S942.43_contig_3756969_1		rank: D;Glycosyl hydrolase family 9 [PF00759.24];Cellulase N-terminal ig-like domain [PF02927.19];Dockerin type I domain [PF00404.23] (db=pfam)	NA
403	P19394	MEGAHIT-MetaBAT2-S942.43_contig_3757181_12		rank: D;SPFH domain-Band 7 family [PF13421.11] (db=pfam)	NA
404	P19402	MEGAHIT-MetaBAT2-S942.43_contig_3757223_6		rank: D;Cellulose-binding protein CttA N-terminal domain [PF18244.6] (db=pfam)	NA
405	P19481	MEGAHIT-MetaBAT2-S943.132_contig_6677480_6		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
406	P19596	MEGAHIT-MetaBAT2-S944.84_contig_2211440_2	group9_bins.155_contig_7048706_7	rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
407	P19663	MEGAHIT-MetaBAT2-S945.103_contig_2744389_6		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
408	P19681	MEGAHIT-MetaBAT2-S945.103_contig_2744407_4	MEGAHIT-MetaBAT2-S950.132_contig_5970439_25	rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G (db=kegg)	K03612
409	P19946	MEGAHIT-MetaBAT2-S945.135_contig_4381791_18		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
410	P19979	MEGAHIT-MetaBAT2-S945.140_contig_1583078_7		rank: C;flagellin (db=kegg)	K02406
411	P20015	MEGAHIT-MetaBAT2-S945.141_contig_5189679_7		rank: C;trigger factor (db=kegg)	K03545
412	P20018	MEGAHIT-MetaBAT2-S945.141_contig_5189684_2		rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29];CarboxypepD_reg-like domain [PF13715.11];TonB-dependent Receptor Plug Domain [PF07715.20];Carboxypeptidase regulatory-like domain [PF13620.11] (db=pfam)	NA
413	P20070	MEGAHIT-MetaBAT2-S945.141_contig_5189751_6		rank: C;biopolymer transport protein ExbD (db=kegg)	K03559
414	P20173	MEGAHIT-MetaBAT2-S945.141_contig_5189851_3		rank: C;large subunit ribosomal protein L25 (db=kegg)	K02897
415	P20211	MEGAHIT-MetaBAT2-S945.141_contig_5189898_9		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
416	P20240	MEGAHIT-MetaBAT2-S945.141_contig_5189967_10		rank: D;Serine dehydratase alpha chain [PF03313.20] (db=pfam)	NA
417	P20258	MEGAHIT-MetaBAT2-S945.152_contig_4851776_12		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)	K00895
418	P20287	MEGAHIT-MetaBAT2-S945.152_contig_4851873_6	MEGAHIT-MetaBAT2-S979.62_contig_5177260_4	rank: C;small subunit ribosomal protein S12 (db=kegg)	K02950
419	P20302	MEGAHIT-MetaBAT2-S945.168_contig_3689539_4		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
420	P20307	MEGAHIT-MetaBAT2-S945.168_contig_3689561_14		rank: C;carbohydrate diacid regulator (db=kegg)	K02647
421	P20373	MEGAHIT-MetaBAT2-S945.168_contig_3690016_18		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
422	P20376	MEGAHIT-MetaBAT2-S945.168_contig_3690035_5		rank: D;E1-E2 ATPase [PF00122.25];Cation transporting ATPase, C-terminus [PF00689.26];haloacid dehalogenase-like hydrolase [PF00702.31];Cation transport ATPase (P-type) [PF13246.11];Cation transporter/ATPase, N-terminus [PF00690.31];haloacid dehalogenase-like hydrolase [PF08282.17] (db=pfam)	NA
423	P20399	MEGAHIT-MetaBAT2-S945.70_contig_240877_7		rank: C;lactaldehyde reductase [EC:1.1.1.77] (db=kegg)	K00048
424	P20425	MEGAHIT-MetaBAT2-S945.92_contig_5403087_9		rank: C;long-chain fatty acid transport protein (db=kegg)	K06076
425	P20426	MEGAHIT-MetaBAT2-S945.92_contig_5403090_17		rank: D;Domain of Unknown Function (DUF349) [PF03993.17] (db=pfam)	NA
426	P20431	MEGAHIT-MetaBAT2-S945.92_contig_5403091_28		rank: D;SPOR domain [PF05036.18] (db=pfam)	NA
427	P20432	MEGAHIT-MetaBAT2-S945.92_contig_5403091_4		rank: D;Domain of unknown function (DUF4234) [PF14018.11] (db=pfam)	NA
428	P20457	MEGAHIT-MetaBAT2-S945.92_contig_5403097_5		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
429	P20466	MEGAHIT-MetaBAT2-S945.92_contig_5403103_12		rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)	K01858
430	P20470	MEGAHIT-MetaBAT2-S945.92_contig_5403110_22		rank: D;Outer membrane efflux protein [PF02321.23] (db=pfam)	NA
431	P20479	MEGAHIT-MetaBAT2-S945.92_contig_5403112_6		rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)	NA
432	P20483	MEGAHIT-MetaBAT2-S945.92_contig_5403114_14		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
433	P20486	MEGAHIT-MetaBAT2-S945.92_contig_5403114_5		rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)	K01737
434	P20487	MEGAHIT-MetaBAT2-S945.92_contig_5403114_6		rank: C;bleomycin hydrolase [EC:3.4.22.40] (db=kegg)	K01372
435	P20494	MEGAHIT-MetaBAT2-S945.92_contig_5403118_12		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
436	P20503	MEGAHIT-MetaBAT2-S945.92_contig_5403127_11		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
437	P20507	MEGAHIT-MetaBAT2-S945.92_contig_5403127_6		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
438	P20508	MEGAHIT-MetaBAT2-S945.92_contig_5403127_9		rank: C;starch-binding outer membrane protein SusE/F (db=kegg)	K21571
439	P20512	MEGAHIT-MetaBAT2-S945.92_contig_5403130_5		rank: D;Family of unknown function (DUF5723) [PF18990.5] (db=pfam)	NA
440	P20513	MEGAHIT-MetaBAT2-S945.92_contig_5403130_6		rank: E	NA
441	P20522	MEGAHIT-MetaBAT2-S945.92_contig_5403137_9		rank: C;phosphate-selective porin OprO and OprP (db=kegg)	K07221
442	P20541	MEGAHIT-MetaBAT2-S945.92_contig_5403147_13		rank: D;Rubrerythrin, rubredoxin-like domain [PF21349.2];Rubrerythrin [PF02915.22] (db=pfam)	NA
443	P20556	MEGAHIT-MetaBAT2-S945.92_contig_5403155_15		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)	K03043
444	P20560	MEGAHIT-MetaBAT2-S945.92_contig_5403156_13		rank: C;large subunit ribosomal protein L21 (db=kegg)	K02888
445	P20568	MEGAHIT-MetaBAT2-S945.92_contig_5403160_10		rank: C;2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (db=kegg)	K01625
446	P20578	MEGAHIT-MetaBAT2-S945.92_contig_5403164_11		rank: D;Outer membrane protein transport protein (OMPP1/FadL/TodX) [PF03349.21] (db=pfam)	NA
447	P20579	MEGAHIT-MetaBAT2-S945.92_contig_5403164_14		rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)	K03770
448	P20580	MEGAHIT-MetaBAT2-S945.92_contig_5403164_9		rank: C;preprotein translocase subunit SecA [EC:7.4.2.8] (db=kegg)	K03070
449	P20586	MEGAHIT-MetaBAT2-S945.92_contig_5403167_19		rank: C;transcription termination/antitermination protein NusA (db=kegg)	K02600
450	P20591	MEGAHIT-MetaBAT2-S945.92_contig_5403170_12		rank: C;periplasmic protein TonB (db=kegg)	K03832
451	P20598	MEGAHIT-MetaBAT2-S945.92_contig_5403179_19		rank: D;Domain of unknown function (DUF4836) [PF16120.10] (db=pfam)	NA
452	P20599	MEGAHIT-MetaBAT2-S945.92_contig_5403179_23		rank: E	NA
453	P20601	MEGAHIT-MetaBAT2-S945.92_contig_5403179_25		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
454	P20602	MEGAHIT-MetaBAT2-S945.92_contig_5403179_26		rank: D;Putative zinc-binding metallo-peptidase [PF15890.10] (db=pfam)	NA
455	P20603	MEGAHIT-MetaBAT2-S945.92_contig_5403179_27		rank: D;Domain of unknown function (DUF4302) [PF14135.11] (db=pfam)	NA
456	P20604	MEGAHIT-MetaBAT2-S945.92_contig_5403179_28		rank: E	NA
457	P20605	MEGAHIT-MetaBAT2-S945.92_contig_5403179_43		rank: C;Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA (db=kegg)	K03718
458	P20609	MEGAHIT-MetaBAT2-S945.92_contig_5403180_7		rank: E	NA
459	P20610	MEGAHIT-MetaBAT2-S945.92_contig_5403180_8		rank: D;Family of unknown function (DUF5689) [PF18942.5] (db=pfam)	NA
460	P20621	MEGAHIT-MetaBAT2-S945.92_contig_5403194_36		rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)	NA
461	P20623	MEGAHIT-MetaBAT2-S945.92_contig_5403194_38		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
462	P20627	MEGAHIT-MetaBAT2-S945.92_contig_5403194_51		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)	K03569
463	P20639	MEGAHIT-MetaBAT2-S945.92_contig_5403198_9		rank: C;xylose isomerase [EC:5.3.1.5] (db=kegg)	K01805
464	P20644	MEGAHIT-MetaBAT2-S945.92_contig_5403205_7		rank: D;Domain of unknown function (DUF4595) with porin-like fold [PF15283.11] (db=pfam)	NA
465	P20646	MEGAHIT-MetaBAT2-S945.92_contig_5403207_14		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)	K01923
466	P20651	MEGAHIT-MetaBAT2-S945.92_contig_5403209_7		rank: D;Domain of unknown function (DUF5123) [PF17161.9];Domain of unknown function (DUF4957) [PF16318.10] (db=pfam)	NA
467	P20661	MEGAHIT-MetaBAT2-S945.92_contig_5403219_26		rank: D;Bacterial Ig-like domain (group 2) [PF02368.23] (db=pfam)	NA
468	P20688	MEGAHIT-MetaBAT2-S945.93_contig_4661436_21		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)	K00174
469	P20772	MEGAHIT-MetaBAT2-S946.102_contig_5359918_14	MEGAHIT-MetaBAT2-S980.86_contig_3882259_5, group3_bins.39_contig_6031613_6	rank: C;formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (db=kegg)	K00125
470	P20874	MEGAHIT-MetaBAT2-S946.20_contig_6490333_63		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
471	P21028	MEGAHIT-MetaBAT2-S946.6_contig_6078713_22		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
472	P21046	MEGAHIT-MetaBAT2-S946.6_contig_6078801_4		rank: D;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain [PF02729.26] (db=pfam)	NA
473	P21159	MEGAHIT-MetaBAT2-S947.111_contig_76276_25		rank: E	NA
474	P21179	MEGAHIT-MetaBAT2-S947.111_contig_76298_19		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
475	P21239	MEGAHIT-MetaBAT2-S947.111_contig_76329_14		rank: C;small subunit ribosomal protein S14 (db=kegg)	K02954
476	P21265	MEGAHIT-MetaBAT2-S947.111_contig_76355_129		rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)	NA
477	P21394	MEGAHIT-MetaBAT2-S947.49_contig_3623552_1		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
478	P21403	MEGAHIT-MetaBAT2-S947.49_contig_3623785_3		rank: E	NA
479	P21480	MEGAHIT-MetaBAT2-S947.6_contig_2426404_89		rank: E	NA
480	P21496	MEGAHIT-MetaBAT2-S947.6_contig_2426412_77		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
481	P21577	MEGAHIT-MetaBAT2-S947.8_contig_60487_1		rank: E	NA
482	P21590	MEGAHIT-MetaBAT2-S947.8_contig_60520_16		rank: C;long-chain fatty acid transport protein (db=kegg)	K06076
483	P21599	MEGAHIT-MetaBAT2-S947.8_contig_60574_1		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
484	P21620	MEGAHIT-MetaBAT2-S947.8_contig_60727_3		rank: E	NA
485	P21697	MEGAHIT-MetaBAT2-S948.142_contig_869886_12		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
486	P21721	MEGAHIT-MetaBAT2-S948.142_contig_869910_13		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
487	P21722	MEGAHIT-MetaBAT2-S948.142_contig_869910_22		rank: D;Phosphofructokinase [PF00365.25] (db=pfam)	NA
488	P21731	MEGAHIT-MetaBAT2-S948.142_contig_869920_9		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)	K17318
489	P21735	MEGAHIT-MetaBAT2-S948.142_contig_869922_12		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
490	P21738	MEGAHIT-MetaBAT2-S948.142_contig_869924_32		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)	K10546
491	P21753	MEGAHIT-MetaBAT2-S948.142_contig_869936_41		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
492	P21759	MEGAHIT-MetaBAT2-S948.142_contig_869936_55		rank: C;small subunit ribosomal protein S5 (db=kegg)	K02988
493	P21767	MEGAHIT-MetaBAT2-S948.142_contig_869941_13		rank: C;flagellin (db=kegg)	K02406
494	P21791	MEGAHIT-MetaBAT2-S948.142_contig_869955_3		rank: E	NA
495	P21794	MEGAHIT-MetaBAT2-S948.142_contig_869956_21		rank: C;uncharacterized protein (db=kegg)	K07080
496	P21813	MEGAHIT-MetaBAT2-S948.142_contig_869990_17		rank: E	NA
497	P21820	MEGAHIT-MetaBAT2-S948.142_contig_869992_16		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
498	P21981	MEGAHIT-MetaBAT2-S949.157_contig_2408537_9		rank: E	NA
499	P22012	MEGAHIT-MetaBAT2-S949.157_contig_2408553_1		rank: C;valyl-tRNA synthetase [EC:6.1.1.9] (db=kegg)	K01873
500	P22060	MEGAHIT-MetaBAT2-S949.157_contig_2408563_43		rank: C;translation initiation factor IF-3 (db=kegg)	K02520
501	P22541	MEGAHIT-MetaBAT2-S950.132_contig_5970431_18		rank: C;uncharacterized protein (db=kegg)	K07080
502	P22616	MEGAHIT-MetaBAT2-S950.5_contig_1514499_10		rank: E	NA
503	P22649	MEGAHIT-MetaBAT2-S950.5_contig_1514505_15		rank: C;UDPglucose 6-dehydrogenase [EC:1.1.1.22] (db=kegg)	K00012
504	P22650	MEGAHIT-MetaBAT2-S950.5_contig_1514505_21		rank: C;dihydroorotate dehydrogenase electron transfer subunit (db=kegg)	K02823
505	P22651	MEGAHIT-MetaBAT2-S950.5_contig_1514505_22		rank: C;dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14] (db=kegg)	K17828
506	P22657	MEGAHIT-MetaBAT2-S950.5_contig_1514505_9		rank: C;N-carbamoylputrescine amidase [EC:3.5.1.53] (db=kegg)	K12251
507	P22666	MEGAHIT-MetaBAT2-S950.5_contig_1514511_18		rank: C;phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (db=kegg)	K01933
508	P22667	MEGAHIT-MetaBAT2-S950.5_contig_1514511_19		rank: D;Shikimate dehydrogenase substrate binding domain [PF08501.16];Shikimate / quinate 5-dehydrogenase [PF01488.25] (db=pfam)	NA
509	P22672	MEGAHIT-MetaBAT2-S950.5_contig_1514511_6		rank: D;Domain of unknown function (DUF4836) [PF16120.10] (db=pfam)	NA
510	P22674	MEGAHIT-MetaBAT2-S950.5_contig_1514511_8		rank: E	NA
511	P22686	MEGAHIT-MetaBAT2-S950.5_contig_1514522_4		rank: D;Outer membrane efflux protein [PF02321.23] (db=pfam)	NA
512	P22700	MEGAHIT-MetaBAT2-S950.5_contig_1514527_4		rank: C;quinolinate synthase [EC:2.5.1.72] (db=kegg)	K03517
513	P22710	MEGAHIT-MetaBAT2-S950.5_contig_1514529_7		rank: C;dipeptidase D [EC:3.4.13.-] (db=kegg)	K01270
514	P22728	MEGAHIT-MetaBAT2-S950.5_contig_1514535_18		rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)	K01924
515	P22729	MEGAHIT-MetaBAT2-S950.5_contig_1514535_20		rank: C;cell division protein FtsA (db=kegg)	K03590
516	P22754	MEGAHIT-MetaBAT2-S950.5_contig_1514541_2		rank: C;L-lactate dehydrogenase complex protein LldF (db=kegg)	K18929
517	P22787	MEGAHIT-MetaBAT2-S950.5_contig_1514564_4		rank: D;AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.11];AAA ATPase domain [PF13175.11];RecF/RecN/SMC N terminal domain [PF02463.24] (db=pfam)	NA
518	P22802	MEGAHIT-MetaBAT2-S950.5_contig_1514568_8		rank: C;zinc protease [EC:3.4.24.-] (db=kegg)	K07263
519	P22807	MEGAHIT-MetaBAT2-S950.5_contig_1514570_13		rank: D;Domain of unknown function (DUF4840) [PF16128.10] (db=pfam)	NA
520	P22819	MEGAHIT-MetaBAT2-S950.5_contig_1514573_2	MEGAHIT-MetaBAT2-S951.173_contig_4789118_5	rank: C;cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16] (db=kegg)	K11717
521	P22834	MEGAHIT-MetaBAT2-S950.5_contig_1514584_10		rank: C;peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8] (db=kegg)	K03771
522	P22867	MEGAHIT-MetaBAT2-S950.5_contig_1514592_6		rank: C;5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (db=kegg)	K01588
523	P22873	MEGAHIT-MetaBAT2-S950.5_contig_1514595_11		rank: C;putative endopeptidase [EC:3.4.24.-] (db=kegg)	K07386
524	P22878	MEGAHIT-MetaBAT2-S950.5_contig_1514595_19		rank: C;ACT domain-containing protein (db=kegg)	K07166
525	P22880	MEGAHIT-MetaBAT2-S950.5_contig_1514595_21		rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)	NA
526	P22881	MEGAHIT-MetaBAT2-S950.5_contig_1514595_24		rank: D;Lipocalin-like [PF12702.12] (db=pfam)	NA
527	P22897	MEGAHIT-MetaBAT2-S950.5_contig_1514597_11		rank: C;DNA polymerase III subunit beta [EC:2.7.7.7] (db=kegg)	K02338
528	P22905	MEGAHIT-MetaBAT2-S950.5_contig_1514597_23		rank: D;Periplasmic binding protein domain [PF13407.11];Bacterial regulatory proteins, lacI family [PF00356.26] (db=pfam)	NA
529	P22934	MEGAHIT-MetaBAT2-S950.5_contig_1514608_2		rank: C;UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54] (db=kegg)	K03269
530	P23016	MEGAHIT-MetaBAT2-S950.5_contig_1514659_31		rank: E	NA
531	P23023	MEGAHIT-MetaBAT2-S950.5_contig_1514659_9		rank: D;Protein of unknown function (DUF1015) [PF06245.16] (db=pfam)	NA
532	P23031	MEGAHIT-MetaBAT2-S950.5_contig_1514664_1		rank: D;Reelin subrepeat B [PF21471.2];Rhamnogalacturonan I lyases beta-sheet domain [PF18370.6] (db=pfam)	NA
533	P23060	MEGAHIT-MetaBAT2-S950.5_contig_1514673_4		rank: D;Bacterial DNA-binding protein [PF00216.26] (db=pfam)	NA
534	P23096	MEGAHIT-MetaBAT2-S950.5_contig_1514690_5		rank: C;glutathione peroxidase [EC:1.11.1.9] (db=kegg)	K00432
535	P23101	MEGAHIT-MetaBAT2-S950.5_contig_1514692_6		rank: E	NA
536	P23112	MEGAHIT-MetaBAT2-S950.5_contig_1514697_16		rank: E	NA
537	P23125	MEGAHIT-MetaBAT2-S950.5_contig_1514700_10		rank: D;Domain of unknown function (DUF6852) [PF21186.2];Domain of unknown function (DUF5606) [PF18347.6] (db=pfam)	NA
538	P23187	MEGAHIT-MetaBAT2-S950.5_contig_1514729_4		rank: C;lipopolysaccharide export system permease protein (db=kegg)	K07091
539	P23197	MEGAHIT-MetaBAT2-S950.5_contig_1514731_2		rank: C;xanthine phosphoribosyltransferase [EC:2.4.2.22] (db=kegg)	K03816
540	P23201	MEGAHIT-MetaBAT2-S950.5_contig_1514733_7		rank: C;tricorn protease [EC:3.4.21.-] (db=kegg)	K08676
541	P23207	MEGAHIT-MetaBAT2-S950.5_contig_1514736_4		rank: C;beta-galactosidase [EC:3.2.1.23] (db=kegg)	K01190
542	P23208	MEGAHIT-MetaBAT2-S950.5_contig_1514736_5		rank: C;arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89] (db=kegg)	K01224
543	P23219	MEGAHIT-MetaBAT2-S950.5_contig_1514740_14		rank: C;carboxynorspermidine decarboxylase [EC:4.1.1.96] (db=kegg)	K13747
544	P23236	MEGAHIT-MetaBAT2-S950.5_contig_1514744_1		rank: C;lipid-A-disaccharide synthase [EC:2.4.1.182] (db=kegg)	K00748
545	P23240	MEGAHIT-MetaBAT2-S950.5_contig_1514744_6		rank: C;peptidoglycan lytic transglycosylase D [EC:4.2.2.29] (db=kegg)	K08307
546	P23246	MEGAHIT-MetaBAT2-S950.5_contig_1514747_6		rank: C;beta-galactosidase [EC:3.2.1.23] (db=kegg)	K01190
547	P23274	MEGAHIT-MetaBAT2-S950.5_contig_1514753_22		rank: D;Phosphoribosyl transferase domain [PF00156.32] (db=pfam)	NA
548	P23293	MEGAHIT-MetaBAT2-S950.5_contig_1514758_1		rank: E	NA
549	P23303	MEGAHIT-MetaBAT2-S950.5_contig_1514758_7		rank: D;B3/4 domain [PF03483.22] (db=pfam)	NA
550	P23326	MEGAHIT-MetaBAT2-S950.5_contig_1514761_40		rank: C;phosphate starvation-inducible protein PhoH and related proteins (db=kegg)	K06217
551	P23336	MEGAHIT-MetaBAT2-S950.5_contig_1514768_13		rank: E	NA
552	P23362	MEGAHIT-MetaBAT2-S950.5_contig_1514772_20		rank: C;glutaminyl-tRNA synthetase [EC:6.1.1.18] (db=kegg)	K01886
553	P23390	MEGAHIT-MetaBAT2-S950.5_contig_1514779_2		rank: C;LL-diaminopimelate aminotransferase [EC:2.6.1.83] (db=kegg)	K10206
554	P23399	MEGAHIT-MetaBAT2-S950.5_contig_1514779_28		rank: D;Citrate synthase, C-terminal domain [PF00285.26] (db=pfam)	NA
555	P23408	MEGAHIT-MetaBAT2-S950.5_contig_1514780_15		rank: C;glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94] (db=kegg)	K00057
556	P23411	MEGAHIT-MetaBAT2-S950.5_contig_1514780_20		rank: C;3-dehydroquinate synthase [EC:4.2.3.4] (db=kegg)	K01735
557	P23433	MEGAHIT-MetaBAT2-S950.5_contig_1514792_1		rank: E	NA
558	P23440	MEGAHIT-MetaBAT2-S950.5_contig_1514792_3		rank: D;Fimbrillin-A associated anchor proteins Mfa1 and Mfa2 [PF08842.15] (db=pfam)	NA
559	P23444	MEGAHIT-MetaBAT2-S950.5_contig_1514792_9		rank: C;ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6] (db=kegg)	K23997
560	P23461	MEGAHIT-MetaBAT2-S950.5_contig_1514808_4		rank: D;AAA domain (Cdc48 subfamily) [PF07724.19];AAA lid domain [PF17871.6];AAA domain (dynein-related subfamily) [PF07728.19];ATPase family associated with various cellular activities (AAA) [PF00004.34];C-terminal, D2-small domain, of ClpB protein [PF10431.14];Sigma-54 interaction domain [PF00158.31];Holliday junction DNA helicase RuvB P-loop domain [PF05496.17];AAA domain [PF13238.11];AAA domain [PF13401.11];MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.4];Hydrolytic ATP binding site of dynein motor region [PF12774.12] (db=pfam)	NA
561	P23481	MEGAHIT-MetaBAT2-S950.5_contig_1514816_2		rank: D;Glutamine amidotransferases class-II [PF00310.26];Glutamate synthase central domain [PF04898.19] (db=pfam)	NA
562	P23489	MEGAHIT-MetaBAT2-S950.5_contig_1514819_2		rank: E	NA
563	P23496	MEGAHIT-MetaBAT2-S950.5_contig_1514821_5		rank: E	NA
564	P23533	MEGAHIT-MetaBAT2-S950.5_contig_1514843_11		rank: D;FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.33];Domain amino terminal to FKBP-type peptidyl-prolyl isomerase [PF01346.23];Helicobacter pylori protein of unknown function (DUF874) [PF05917.16];CAF1 family ribonuclease [PF04857.25] (db=pfam)	NA
565	P23542	MEGAHIT-MetaBAT2-S950.5_contig_1514852_10		rank: C;tryptophan synthase alpha chain [EC:4.2.1.20] (db=kegg)	K01695
566	P23543	MEGAHIT-MetaBAT2-S950.5_contig_1514852_13		rank: C;anthranilate phosphoribosyltransferase [EC:2.4.2.18] (db=kegg)	K00766
567	P23572	MEGAHIT-MetaBAT2-S950.5_contig_1514866_9		rank: D;Domain of unknown function (DUF4984) [PF16372.10];Domain of unknown function (DUF4843) [PF16132.10] (db=pfam)	NA
