"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"669"	"P30218"	6.18858314694269	8.54476138411754	2.35617823717485	0.00591864817154615	2.22777747548641	"MEGAHIT-MetaBAT2-S967.21_contig_2745079_5"	""	"rank: C;type IV pilus assembly protein PilN (db=kegg)"
"670"	"P30223"	5.65372038918499	7.18930110618764	1.53558071700266	0.0148300847507625	1.82885636706445	"MEGAHIT-MetaBAT2-S967.21_contig_2745083_13"	""	"rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)"
"671"	"P30231"	7.11038828496322	9.41440021437384	2.30401192941063	0.0286797191129984	1.54242510643074	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_21"	""	"rank: C;large subunit ribosomal protein L23 (db=kegg)"
"672"	"P30232"	7.62365431534872	11.1076306613804	3.48397634603167	0.00267615577884531	2.57248860991624	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_22"	""	"rank: C;large subunit ribosomal protein L2 (db=kegg)"
"673"	"P30238"	6.32107404189454	8.5916479731054	2.27057393121086	0.0199652918327557	1.69972433733896	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_29"	""	"rank: C;large subunit ribosomal protein L14 (db=kegg)"
"674"	"P30239"	6.08869777114548	7.67916776495602	1.59046999381054	0.0249167100622479	1.60350930134413	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_3"	""	"rank: D;GGGtGRT protein [PF14057.11] (db=pfam)"
"675"	"P30241"	5.98167656593843	8.03565001071895	2.05397344478052	0.0167080775746394	1.77707351699803	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_31"	""	"rank: C;large subunit ribosomal protein L5 (db=kegg)"
"676"	"P30243"	6.19423883134495	8.2479082195853	2.05366938824035	0.0139629716453002	1.85502214390378	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_34"	""	"rank: C;large subunit ribosomal protein L6 (db=kegg)"
"677"	"P30245"	7.89111346011125	11.6087930179186	3.71767955780736	0.00171831189649745	2.76489800311619	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_36"	""	"rank: C;small subunit ribosomal protein S5 (db=kegg)"
"678"	"P30251"	6.74631464070925	9.01753926794614	2.27122462723689	0.0271347316507988	1.56647446902291	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_43"	""	"rank: C;small subunit ribosomal protein S4 (db=kegg)"
"679"	"P30253"	8.41048513498432	11.6981700194743	3.28768488449	0.00738750179871873	2.13150240036808	"MEGAHIT-MetaBAT2-S967.21_contig_2745090_45"	""	"rank: C;large subunit ribosomal protein L17 (db=kegg)"
"680"	"P30261"	6.16967624412528	8.25707489747889	2.0873986533536	0.0178957263088582	1.7472506708125	"MEGAHIT-MetaBAT2-S967.21_contig_2745092_21"	""	"rank: C;small subunit ribosomal protein S16 (db=kegg)"
"681"	"P30285"	5.90970063529121	7.32177754362248	1.41207690833127	0.0366343680880375	1.43611129527402	"MEGAHIT-MetaBAT2-S967.21_contig_2745109_35"	""	"rank: E"
"682"	"P30288"	9.86023854159663	12.4869060188572	2.6266674772606	0.0464870706496837	1.33266781971841	"MEGAHIT-MetaBAT2-S967.21_contig_2745116_2"	""	"rank: E"
"683"	"P30291"	6.12857738891069	8.28092836128837	2.15235097237768	0.0113852675959135	1.94365675740168	"MEGAHIT-MetaBAT2-S967.21_contig_2745122_14"	""	"rank: C;leucyl aminopeptidase [EC:3.4.11.1] (db=kegg)"
"684"	"P30295"	5.83469534576928	8.65739121285475	2.82269586708546	0.00193123998497489	2.71416375538975	"MEGAHIT-MetaBAT2-S967.21_contig_2745128_3"	""	"rank: D;Phosphotransferase enzyme family [PF01636.28] (db=pfam)"
"685"	"P30298"	5.79723804680242	7.98476547489402	2.1875274280916	0.00432124735164544	2.36439087361468	"MEGAHIT-MetaBAT2-S967.21_contig_2745130_15"	""	"rank: C;molecular chaperone DnaK (db=kegg)"
"686"	"P30302"	6.16692788757631	7.35808109794681	1.1911532103705	0.0354243279655016	1.45069837999773	"MEGAHIT-MetaBAT2-S967.21_contig_2745131_21"	""	"rank: C;seryl-tRNA synthetase [EC:6.1.1.11] (db=kegg)"
"687"	"P30308"	6.28447059706959	7.85207593103544	1.56760533396584	0.0475456836697756	1.32288890340553	"MEGAHIT-MetaBAT2-S967.21_contig_2745148_10"	""	"rank: D;Molybdopterin cofactor-binding domain [PF02738.23];Molybdopterin cofactor-binding domain [PF20256.3];Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.27] (db=pfam)"
"688"	"P30325"	7.33901616779468	10.1327884506531	2.79377228285842	0.0214404700817212	1.66876569698022	"MEGAHIT-MetaBAT2-S967.21_contig_2745158_6"	""	"rank: C;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] (db=kegg)"
"689"	"P30331"	5.83278967664846	6.95895783054579	1.12616815389733	0.0483408373452915	1.3156858311462	"MEGAHIT-MetaBAT2-S967.21_contig_2745159_4"	""	"rank: C;twitching motility protein PilT (db=kegg)"
"690"	"P3036"	7.20173879268465	5.95565010812808	-1.24608868455657	0.0391806148961391	1.40692875251932	"945_SemiBin_185_contig_448724_32"	"MEGAHIT-MetaBAT2-S938.43_contig_1391638_4, MEGAHIT-MetaBAT2-S946.155_contig_5764349_80, MEGAHIT-MetaBAT2-S947.97_contig_6666085_4"	"rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24] (db=pfam)"
"691"	"P30379"	6.09084509514671	8.57034834737292	2.4795032522262	0.000916738485992727	3.03775453596373	"MEGAHIT-MetaBAT2-S967.229_contig_6869547_2"	""	"rank: C;type I restriction enzyme, R subunit [EC:3.1.21.3] (db=kegg)"
"692"	"P30387"	14.1303955387732	16.1260592526815	1.99566371390831	0.0183977220213372	1.73523594736048	"MEGAHIT-MetaBAT2-S967.229_contig_6869550_16"	""	"rank: C;F-type H+-transporting ATPase subunit gamma (db=kegg)"
"693"	"P30401"	15.4875656181931	16.6813808638474	1.19381524565428	0.041778299577266	1.37904924025898	"MEGAHIT-MetaBAT2-S967.229_contig_6869557_2"	""	"rank: C;glycerol-3-phosphate dehydrogenase subunit C (db=kegg)"
"694"	"P3042"	7.79701463552983	5.91496347410509	-1.88205116142474	0.0255742365006286	1.59219732295357	"945_SemiBin_185_contig_448733_12"	"MEGAHIT-MetaBAT2-S946.155_contig_5764355_13, MEGAHIT-MetaBAT2-S947.97_contig_6666091_11"	"rank: E"
"695"	"P30430"	6.17565184396921	7.68022775216959	1.50457590820038	0.0379224825641867	1.42110323967163	"MEGAHIT-MetaBAT2-S967.229_contig_6869566_16"	""	"rank: C;16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182] (db=kegg)"
"696"	"P30460"	6.22724476568091	7.74030474094215	1.51305997526124	0.0417874458603097	1.37895417306965	"MEGAHIT-MetaBAT2-S967.229_contig_6869573_6"	""	"rank: C;chemotaxis protein CheX (db=kegg)"
"697"	"P30473"	6.40456066654715	8.81799352547189	2.41343285892474	0.00681848469283165	2.1663121301326	"MEGAHIT-MetaBAT2-S967.229_contig_6869575_6"	""	"rank: C;preprotein translocase subunit SecF (db=kegg)"
"698"	"P30491"	14.5113911856765	16.4884403783686	1.97704919269205	0.0375184856686425	1.42575469905162	"MEGAHIT-MetaBAT2-S967.229_contig_6869585_3"	""	"rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)"
"699"	"P30495"	13.5884499733263	15.5963192644344	2.00786929110807	0.045408725981929	1.34286068278919	"MEGAHIT-MetaBAT2-S967.229_contig_6869586_13"	""	"rank: C;galactofuranose transport system ATP-binding protein [EC:7.5.2.9] (db=kegg)"
"700"	"P30500"	14.6987323310922	16.8276229361	2.12889060500782	0.0272451361490275	1.56471101750391	"MEGAHIT-MetaBAT2-S967.229_contig_6869586_29"	""	"rank: C;succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] (db=kegg)"
"701"	"P30502"	14.0376508664813	16.2631635151252	2.22551264864387	0.0221990522423331	1.65366556675257	"MEGAHIT-MetaBAT2-S967.229_contig_6869586_31"	""	"rank: D;Methylmalonyl-CoA mutase [PF01642.27] (db=pfam)"
"702"	"P30509"	15.3390562513683	16.8822479905753	1.54319173920698	0.0305690339113549	1.51471828628528	"MEGAHIT-MetaBAT2-S967.229_contig_6869586_7"	""	"rank: D;ABC transporter [PF00005.32] (db=pfam)"
"703"	"P30531"	15.5496536642885	16.9577766615769	1.40812299728844	0.0346676836337757	1.46007517532303	"MEGAHIT-MetaBAT2-S967.229_contig_6869590_13"	""	"rank: C;polar amino acid transport system substrate-binding protein (db=kegg)"
"704"	"P30532"	6.97331993077462	9.31582676409725	2.34250683332263	0.0176305002957762	1.75373536367276	"MEGAHIT-MetaBAT2-S967.229_contig_6869590_19"	""	"rank: C;glutaminyl-tRNA synthetase [EC:6.1.1.18] (db=kegg)"
"705"	"P30539"	7.26657709464196	9.62599383588087	2.35941674123892	0.0236413701300595	1.6263273576266	"MEGAHIT-MetaBAT2-S967.229_contig_6869591_3"	"group9_bins.264_contig_5619654_2, group9_bins.264_contig_5619664_27"	"rank: C;preprotein translocase subunit SecE (db=kegg)"
"706"	"P30550"	14.9699897594928	16.4178233311094	1.44783357161661	0.0337095316669733	1.47224728117414	"MEGAHIT-MetaBAT2-S967.229_contig_6869598_3"	""	"rank: D;F420-0:Gamma-glutamyl ligase [PF01996.21] (db=pfam)"
"707"	"P30574"	15.3563643724859	17.2384475181843	1.88208314569832	0.0246709893348762	1.60781343445585	"MEGAHIT-MetaBAT2-S967.229_contig_6869606_4"	""	"rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)"
"708"	"P30580"	5.94494661832013	7.14195704502709	1.19701042670696	0.0475441567016749	1.32290285134819	"MEGAHIT-MetaBAT2-S967.229_contig_6869607_4"	""	"rank: C;ribosome maturation factor RimP (db=kegg)"
"709"	"P30581"	9.03645989472568	11.3338098690416	2.29734997431587	0.0350499686081209	1.45531236666525	"MEGAHIT-MetaBAT2-S967.229_contig_6869607_5"	""	"rank: C;transcription termination/antitermination protein NusA (db=kegg)"
"710"	"P30597"	7.50477352481033	5.91714896805128	-1.58762455675906	0.0144348420889474	1.84058796275478	"MEGAHIT-MetaBAT2-S967.229_contig_6869610_19"	""	"rank: C;GTPase [EC:3.6.5.-] (db=kegg)"
"711"	"P30598"	15.1288690897026	16.3841409354374	1.25527184573485	0.037111686881083	1.43048930470549	"MEGAHIT-MetaBAT2-S967.229_contig_6869610_20"	"group9_bins.264_contig_5619684_22"	"rank: C;large subunit ribosomal protein L27 (db=kegg)"
"712"	"P30622"	13.2752316316284	15.1458752862651	1.87064365463674	0.0322671517487782	1.49123936847839	"MEGAHIT-MetaBAT2-S967.229_contig_6869615_12"	""	"rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)"
"713"	"P30634"	14.0578793712926	16.2140628324637	2.15618346117109	0.016719032386057	1.77678886096137	"MEGAHIT-MetaBAT2-S967.229_contig_6869619_13"	""	"rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)"
"714"	"P30635"	15.2630936439583	16.9194830532732	1.6563894093149	0.0316936662586179	1.49902751960458	"MEGAHIT-MetaBAT2-S967.229_contig_6869619_14"	""	"rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)"
"715"	"P30650"	7.9419736008303	10.6572255892966	2.71525198846634	0.0266973836926117	1.57353129682027	"MEGAHIT-MetaBAT2-S967.229_contig_6869621_5"	""	"rank: D;Conserved region in glutamate synthase [PF01645.22];4Fe-4S dicluster domain [PF13187.11];4Fe-4S double cluster binding domain [PF13484.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF14697.11];4Fe-4S dicluster domain [PF13183.11] (db=pfam)"
"716"	"P30654"	13.2933323306034	15.5398110549334	2.24647872433001	0.0282309223753633	1.54927493212632	"MEGAHIT-MetaBAT2-S967.229_contig_6869622_6"	""	"rank: C;large subunit ribosomal protein L31 (db=kegg)"
"717"	"P30657"	11.1349758482333	14.1792759277519	3.04430007951867	0.011530562409152	1.93814950925045	"MEGAHIT-MetaBAT2-S967.229_contig_6869624_14"	""	"rank: C;dihydroorotase [EC:3.5.2.3] (db=kegg)"
"718"	"P30669"	12.241602715681	15.4206949877027	3.17909227202176	0.00353768830731504	2.45128043382773	"MEGAHIT-MetaBAT2-S967.229_contig_6869628_13"	""	"rank: C;rod shape-determining protein MreB and related proteins (db=kegg)"
"719"	"P30736"	5.71895699365248	6.93783438145695	1.21887738780447	0.0215423710344227	1.66670649832233	"MEGAHIT-MetaBAT2-S967.229_contig_6869648_30"	""	"rank: C;presequence protease [EC:3.4.24.-] (db=kegg)"
"720"	"P30743"	15.2978711478835	16.7958300031465	1.49795885526298	0.0344553794149108	1.46274296336953	"MEGAHIT-MetaBAT2-S967.229_contig_6869648_41"	""	"rank: C;lactate dehydrogenase (NAD+,ferredoxin) subunit LctD [EC:1.1.1.436] (db=kegg)"
"721"	"P30755"	15.0753908872064	16.6216472099567	1.54625632275031	0.0334498267620722	1.47560612711801	"MEGAHIT-MetaBAT2-S967.229_contig_6869651_3"	""	"rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)"
"722"	"P30797"	14.2777536459826	16.1881328274135	1.91037918143092	0.047383722215084	1.32437082639129	"MEGAHIT-MetaBAT2-S967.229_contig_6869661_3"	""	"rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)"
"723"	"P30824"	13.6783515984499	15.589489864883	1.91113826643303	0.0466116078247396	1.33150591621848	"MEGAHIT-MetaBAT2-S967.229_contig_6869671_1"	""	"rank: C;transketolase [EC:2.2.1.1] (db=kegg)"
"724"	"P30841"	15.902486115417	17.2060516949358	1.30356557951872	0.0404957240036027	1.39259083208608	"MEGAHIT-MetaBAT2-S967.229_contig_6869676_2"	""	"rank: C;cellobiose PTS system EIIC component (db=kegg)"
"725"	"P30844"	13.5322736296302	15.7384205466748	2.20614691704468	0.0186629413451609	1.72901990885826	"MEGAHIT-MetaBAT2-S967.229_contig_6869676_6"	""	"rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)"
"726"	"P30860"	13.2330543634788	15.3348016868653	2.10174732338645	0.0308981581739132	1.51006740791324	"MEGAHIT-MetaBAT2-S967.229_contig_6869679_22"	""	"rank: C;enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9] (db=kegg)"
"727"	"P30872"	6.23719998794308	8.78930993814599	2.55210995020291	0.00298077744408416	2.52567044879608	"MEGAHIT-MetaBAT2-S967.229_contig_6869679_4"	""	"rank: C;methylglyoxal synthase [EC:4.2.3.3] (db=kegg)"
"728"	"P30880"	12.324878291583	15.1132301080873	2.78835181650427	0.0049095805270914	2.30895561226639	"MEGAHIT-MetaBAT2-S967.229_contig_6869681_10"	""	"rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)"
"729"	"P30885"	12.5977557952258	15.158312882719	2.56055708749314	0.00476172795386078	2.32223542025244	"MEGAHIT-MetaBAT2-S967.229_contig_6869681_3"	""	"rank: C;pantoate--beta-alanine ligase [EC:6.3.2.1] (db=kegg)"
"730"	"P30897"	7.57703551951683	9.75732247167027	2.18028695215344	0.0448741843278253	1.34800343245583	"MEGAHIT-MetaBAT2-S967.229_contig_6869684_16"	""	"rank: C;heat shock protein HtpX [EC:3.4.24.-] (db=kegg)"
"731"	"P30921"	6.95468048760282	9.55978103742924	2.60510054982642	0.0102418983435955	1.98961953908887	"MEGAHIT-MetaBAT2-S967.229_contig_6869687_4"	""	"rank: D;Sodium:dicarboxylate symporter family [PF00375.23] (db=pfam)"
"732"	"P30946"	6.04682436648669	7.23778960363349	1.1909652371468	0.0152590565643006	1.81647231707474	"MEGAHIT-MetaBAT2-S967.229_contig_6869696_12"	""	"rank: C;flagellar P-ring protein FlgI (db=kegg)"
"733"	"P3095"	10.0953017341718	7.67126135606065	-2.42404037811111	0.0357865037290202	1.44628072925359	"945_SemiBin_201_contig_3493374_7"	""	"rank: D;CBS domain [PF00571.33] (db=pfam)"
"734"	"P30953"	7.72084886763871	6.00333553911627	-1.71751332852244	0.0239745139937999	1.62025018799255	"MEGAHIT-MetaBAT2-S967.46_contig_3552821_7"	""	"rank: C;5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (db=kegg)"
"735"	"P31091"	11.4023405730547	8.87393217449284	-2.52840839856191	0.0214416750893716	1.66874128923797	"MEGAHIT-MetaBAT2-S968.138_contig_2051432_10"	""	"rank: C;DNA gyrase subunit A [EC:5.6.2.2] (db=kegg)"
"736"	"P31122"	7.82817661215752	6.18140352919263	-1.64677308296489	0.0378223710949779	1.42225124859551	"MEGAHIT-MetaBAT2-S968.13_contig_6351424_7"	""	"rank: D;Phosphodiester glycosidase [PF09992.14] (db=pfam)"
"737"	"P31148"	9.69626712083894	7.04111256859611	-2.65515455224283	0.00783804314610414	2.10579235018895	"MEGAHIT-MetaBAT2-S968.13_contig_6351449_7"	"MEGAHIT-MetaBAT2-S970.191_contig_2451139_20"	"rank: C;methyl-galactoside transport system permease protein (db=kegg)"
"738"	"P31180"	14.7485315876853	10.5393193233483	-4.20921226433696	0.000473537697071238	3.3246454422608	"MEGAHIT-MetaBAT2-S968.13_contig_6351479_3"	""	"rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)"
"739"	"P31189"	8.9318272882402	5.89109804543435	-3.04072924280585	0.000394566661502358	3.40387961279195	"MEGAHIT-MetaBAT2-S968.13_contig_6351498_2"	""	"rank: D;Domain of unknown function (DUF4349) [PF14257.11] (db=pfam)"
"740"	"P31245"	11.5076930176487	8.5829131404374	-2.92477987721128	0.0175816005353728	1.75494159160353	"MEGAHIT-MetaBAT2-S968.13_contig_6351560_3"	""	"rank: C;acetyl-CoA synthase [EC:2.3.1.169] (db=kegg)"
"741"	"P31246"	13.8365378234745	10.6032504640248	-3.23328735944965	0.0202385851765676	1.6938198510954	"MEGAHIT-MetaBAT2-S968.13_contig_6351560_9"	""	"rank: D;SPFH domain-Band 7 family [PF13421.11];Double zinc ribbon [PF12773.12];DNA polymerase II large subunit DP2 [PF03833.18] (db=pfam)"
"742"	"P31258"	10.6067497834499	8.23708761616556	-2.36966216728437	0.0461849166557971	1.33549983575791	"MEGAHIT-MetaBAT2-S968.13_contig_6351569_6"	""	"rank: C;multiple sugar transport system permease protein (db=kegg)"
"743"	"P31280"	14.9391431243831	12.8149603501516	-2.12418277423152	0.0402734928081135	1.39498070360564	"MEGAHIT-MetaBAT2-S968.13_contig_6351591_1"	""	"rank: D;Molybdopterin cofactor-binding domain [PF02738.23];[2Fe-2S] binding domain [PF01799.25];Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.27];2Fe-2S iron-sulfur cluster binding domain [PF00111.32] (db=pfam)"
"744"	"P31294"	10.1637403638251	7.5937057266029	-2.5700346372222	0.0284257314855886	1.54628835070119	"MEGAHIT-MetaBAT2-S968.13_contig_6351602_3"	""	"rank: D;Carbon monoxide dehydrogenase subunit alpha N-terminal domain [PF18537.6] (db=pfam)"
"745"	"P31298"	8.49946876658004	6.62185119856202	-1.87761756801802	0.0409750030407052	1.387481005529	"MEGAHIT-MetaBAT2-S968.13_contig_6351610_14"	""	"rank: C;large subunit ribosomal protein L10 (db=kegg)"
"746"	"P31368"	8.40118153942321	5.92121065978868	-2.47997087963453	0.00159920447861525	2.79609600263483	"MEGAHIT-MetaBAT2-S968.150_contig_1399240_9"	""	"rank: C;cell division protein FtsZ (db=kegg)"
"747"	"P3138"	7.59381869075187	6.33898951484613	-1.25482917590574	0.0491920654982063	1.308104941709	"945_SemiBin_201_contig_3493383_8"	""	"rank: C;archaeal chaperonin (db=kegg)"
"748"	"P31417"	5.6087419302253	7.33973099714678	1.73098906692148	0.0127415012486447	1.89477939887733	"MEGAHIT-MetaBAT2-S968.229_contig_4505309_1"	""	"rank: C;large subunit ribosomal protein L1 (db=kegg)"
"749"	"P31499"	7.76714772233564	6.00692253793067	-1.76022518440497	0.0169342370424566	1.77123436534443	"MEGAHIT-MetaBAT2-S968.88_contig_2942178_17"	""	"rank: E"
"750"	"P31543"	6.0576688085313	7.36948466726104	1.31181585872974	0.0256607746424357	1.5907302373665	"MEGAHIT-MetaBAT2-S969.89_contig_3779596_1"	""	"rank: C;phosphate-selective porin OprO and OprP (db=kegg)"
"751"	"P31603"	7.68905166840005	10.5284311703275	2.8393795019274	0.0185630727270601	1.73135013383085	"MEGAHIT-MetaBAT2-S970.119_contig_4140719_19"	"group10_bins.7_contig_57008_22"	"rank: C;biopolymer transport protein ExbB (db=kegg)"
"752"	"P31664"	6.93327166729564	5.66323441471411	-1.27003725258153	0.0325666785272858	1.48722653283301	"MEGAHIT-MetaBAT2-S970.119_contig_4140845_8"	""	"rank: C;large subunit ribosomal protein L28 (db=kegg)"
"753"	"P31731"	7.32915860002355	5.95221523522166	-1.37694336480189	0.0232594707621635	1.63340017127941	"MEGAHIT-MetaBAT2-S970.119_contig_4141003_4"	""	"rank: D;ABC transporter [PF00005.32] (db=pfam)"
"754"	"P31773"	7.30004358187192	6.10283401316501	-1.19720956870691	0.0489207275989066	1.31050709231768	"MEGAHIT-MetaBAT2-S970.122_contig_4011715_5"	""	"rank: C;cysteine synthase [EC:2.5.1.47] (db=kegg)"
"755"	"P31822"	12.9053836483669	15.0825689451251	2.1771852967582	0.0483705958646826	1.31541856261879	"MEGAHIT-MetaBAT2-S970.191_contig_2451081_2"	""	"rank: C;small subunit ribosomal protein S7 (db=kegg)"
"756"	"P3188"	7.18443431728889	5.97035389691705	-1.21408042037183	0.0314257546897326	1.50271428393156	"945_SemiBin_201_contig_3493400_156"	""	"rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)"
"757"	"P31883"	7.59418845571953	6.11153099647451	-1.48265745924502	0.0275467847154517	1.55992908508179	"MEGAHIT-MetaBAT2-S970.191_contig_2451139_19"	""	"rank: C;methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11] (db=kegg)"
"758"	"P31903"	13.3822720869293	10.6329829545538	-2.74928913237558	0.0401050999517414	1.39680039695423	"MEGAHIT-MetaBAT2-S970.191_contig_2451152_6"	""	"rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)"
"759"	"P31951"	6.69024118511857	9.2142850820347	2.52404389691613	0.00604496563930276	2.21860616340596	"MEGAHIT-MetaBAT2-S970.199_contig_3441814_2"	""	"rank: C;maltose transport system substrate-binding protein (db=kegg)"
"760"	"P32084"	13.3672560996699	10.8179497724291	-2.5493063272408	0.0372687971422219	1.42865462396002	"MEGAHIT-MetaBAT2-S970.241_contig_107743_19"	""	"rank: D;CarboxypepD_reg-like domain [PF13715.11] (db=pfam)"
"761"	"P32086"	6.73096836620299	8.61282294136797	1.88185457516498	0.0403037130816036	1.39465494153711	"MEGAHIT-MetaBAT2-S970.241_contig_107762_6"	""	"rank: C;rubrerythrin (db=kegg)"
"762"	"P32113"	7.48216079077625	9.93549851466175	2.45333772388549	0.02350522848653	1.6288355228226	"MEGAHIT-MetaBAT2-S970.51_contig_6451536_1"	""	"rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Flavin-binding monooxygenase-like [PF00743.24];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11];NADH:flavin oxidoreductase / NADH oxidase family [PF00724.25];Pyridine nucleotide-disulphide oxidoreductase [PF00070.32];NAD(P)-binding Rossmann-like domain [PF13450.11];FAD binding domain [PF01494.24];FAD dependent oxidoreductase [PF12831.12];FAD binding domain [PF00890.29];HI0933-like protein Rossmann domain [PF03486.19] (db=pfam)"
"763"	"P32115"	5.96303795750289	7.82485269336506	1.86181473586218	0.0109634067265368	1.96005447389527	"MEGAHIT-MetaBAT2-S970.51_contig_6451559_7"	""	"rank: E"
"764"	"P32118"	6.53407058416205	8.92559867582477	2.39152809166272	0.00957324742432624	2.01894071643092	"MEGAHIT-MetaBAT2-S970.51_contig_6451575_1"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"765"	"P32122"	14.982741619117	17.0041020163174	2.02136039720043	0.00888691371230967	2.05124903660339	"MEGAHIT-MetaBAT2-S970.51_contig_6451603_2"	""	"rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)"
"766"	"P32125"	6.82159065164966	10.2523903274327	3.43079967578302	0.00181509329326946	2.74110104792216	"MEGAHIT-MetaBAT2-S970.51_contig_6451612_1"	""	"rank: E"
"767"	"P32130"	8.09809392713466	10.3258837473069	2.22778982017228	0.0355864081273233	1.44871584479204	"MEGAHIT-MetaBAT2-S970.51_contig_6451639_11"	""	"rank: C;carbon starvation protein (db=kegg)"
"768"	"P32133"	5.8764244672239	7.68894569861055	1.81252123138665	0.0149066680206915	1.82661942039281	"MEGAHIT-MetaBAT2-S970.51_contig_6451652_3"	""	"rank: C;TRAP-type transport system periplasmic protein (db=kegg)"
"769"	"P32135"	6.85686763412155	8.63722636334072	1.78035872921917	0.0287560723463832	1.54127043243303	"MEGAHIT-MetaBAT2-S970.51_contig_6451653_2"	""	"rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)"
"770"	"P32140"	6.21920964138869	7.93223692203438	1.71302728064569	0.04499464247697	1.3468391946959	"MEGAHIT-MetaBAT2-S970.51_contig_6451694_11"	""	"rank: C;5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45] (db=kegg)"
"771"	"P32160"	9.31922530523934	6.93016771288048	-2.38905759235886	0.0114023482286968	1.94300569973847	"MEGAHIT-MetaBAT2-S971.10_contig_1417421_8"	""	"rank: E"
"772"	"P32298"	7.09526041602794	5.77495669685271	-1.32030371917523	0.0394187394548554	1.40429726784332	"MEGAHIT-MetaBAT2-S972.107_contig_6813948_5"	""	"rank: D;Domain of unknown function (DUF4428) [PF14471.11] (db=pfam)"
"773"	"P32340"	7.17817960327051	5.77267325199289	-1.40550635127762	0.0279281833749457	1.55395731263037	"MEGAHIT-MetaBAT2-S972.40_contig_3573257_10"	"MEGAHIT-MetaBAT2-S983.160_contig_1010699_5"	"rank: C;manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1] (db=kegg)"
"774"	"P32353"	7.586271988247	6.13151875193843	-1.45475323630857	0.015729373478649	1.80328857554482	"MEGAHIT-MetaBAT2-S972.40_contig_3573276_11"	""	"rank: C;cysteine desulfurase [EC:2.8.1.7] (db=kegg)"
"775"	"P32384"	7.77006061045978	6.26096571386909	-1.50909489659069	0.0467942716353197	1.32980730823865	"MEGAHIT-MetaBAT2-S972.40_contig_3573316_7"	"MEGAHIT-MetaBAT2-S983.160_contig_1010837_8"	"rank: E"
"776"	"P32430"	7.91749362027147	5.93474539038509	-1.98274822988638	0.0022250322066927	2.6526636983515	"MEGAHIT-MetaBAT2-S972.40_contig_3573396_1"	""	"rank: D;Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.11];Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];NAD(P)-binding Rossmann-like domain [PF13450.11];Thi4 family [PF01946.22];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11];Flavin-binding monooxygenase-like [PF00743.24];FAD binding domain [PF01494.24];HI0933-like protein Rossmann domain [PF03486.19];FAD binding domain [PF00890.29];Flavin containing amine oxidoreductase [PF01593.29] (db=pfam)"
