Protein	Indistinguishable.Proteins	Description
27519	MEGAHIT-MetaBAT2-S961.20_contig_4773625_36		rank: C;UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-] (db=kegg)
27520	MEGAHIT-MetaBAT2-S961.20_contig_4773625_54		rank: C;glucosamine-6-phosphate deaminase [EC:3.5.99.6] (db=kegg)
27521	MEGAHIT-MetaBAT2-S961.20_contig_4773625_73	MEGAHIT-MetaBAT2-S962.24_contig_2292257_15, MEGAHIT-MetaBAT2-S968.13_contig_6351573_2, MEGAHIT-MetaBAT2-S970.191_contig_2451116_11, MEGAHIT-MetaBAT2-S978.150_contig_345509_5, MEGAHIT-MetaBAT2-S983.160_contig_1010878_1	rank: C;large subunit ribosomal protein L28 (db=kegg)
27522	MEGAHIT-MetaBAT2-S961.20_contig_4773627_5		rank: D;ACS/CODH beta subunit C-terminal [PF19436.4];CO dehydrogenase/acetyl-CoA synthase complex beta subunit [PF03598.20] (db=pfam)
27523	MEGAHIT-MetaBAT2-S961.20_contig_4773630_5		rank: D;RnfC Barrel sandwich hybrid domain [PF13375.11];Methylene-tetrahydrofolate reductase C terminal [PF12225.13] (db=pfam)
27524	MEGAHIT-MetaBAT2-S961.20_contig_4773632_14		rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)
27525	MEGAHIT-MetaBAT2-S961.20_contig_4773633_13	MEGAHIT-MetaBAT2-S978.150_contig_345495_7, MEGAHIT-MetaBAT2-S993.160_contig_3109486_5	rank: C;small subunit ribosomal protein S6 (db=kegg)
27526	MEGAHIT-MetaBAT2-S961.20_contig_4773633_15	MEGAHIT-MetaBAT2-S962.24_contig_2292151_5, MEGAHIT-MetaBAT2-S968.13_contig_6351517_4, MEGAHIT-MetaBAT2-S972.40_contig_3573288_8, MEGAHIT-MetaBAT2-S993.160_contig_3109486_3	rank: C;small subunit ribosomal protein S18 (db=kegg)
27527	MEGAHIT-MetaBAT2-S961.20_contig_4773636_2		rank: C;uncharacterized protein (db=kegg)
27528	MEGAHIT-MetaBAT2-S961.20_contig_4773637_15		rank: C;D-lactate dehydrogenase [EC:1.1.1.28] (db=kegg)
27529	MEGAHIT-MetaBAT2-S961.20_contig_4773637_19		rank: C;NADH-quinone oxidoreductase subunit F [EC:7.1.1.2] (db=kegg)
27530	MEGAHIT-MetaBAT2-S961.20_contig_4773637_9		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
27531	MEGAHIT-MetaBAT2-S961.20_contig_4773639_17		rank: C;ribonuclease J [EC:3.1.-.-] (db=kegg)
27532	MEGAHIT-MetaBAT2-S961.20_contig_4773640_2		rank: D;AAA domain (Cdc48 subfamily) [PF07724.19];AAA lid domain [PF17871.6];C-terminal, D2-small domain, of ClpB protein [PF10431.14];AAA domain (dynein-related subfamily) [PF07728.19];Bacterial TniB protein [PF05621.16];ATPase family associated with various cellular activities (AAA) [PF00004.34];Holliday junction DNA helicase RuvB P-loop domain [PF05496.17] (db=pfam)
27533	MEGAHIT-MetaBAT2-S961.20_contig_4773645_18	MEGAHIT-MetaBAT2-S972.40_contig_3573276_12, MEGAHIT-MetaBAT2-S983.160_contig_1010661_7	rank: C;nitrogen fixation protein NifU and related proteins (db=kegg)
27534	MEGAHIT-MetaBAT2-S961.20_contig_4773646_14		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)
27535	MEGAHIT-MetaBAT2-S961.20_contig_4773646_17		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)
27536	MEGAHIT-MetaBAT2-S961.20_contig_4773649_2		rank: C;elongation factor Ts (db=kegg)
27537	MEGAHIT-MetaBAT2-S961.20_contig_4773650_15		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)
27538	MEGAHIT-MetaBAT2-S961.20_contig_4773654_13	MEGAHIT-MetaBAT2-S972.40_contig_3573240_6, MEGAHIT-MetaBAT2-S983.160_contig_1010910_9	rank: D;Probable zinc-ribbon domain [PF13451.11] (db=pfam)
27539	MEGAHIT-MetaBAT2-S961.20_contig_4773654_21		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)
27540	MEGAHIT-MetaBAT2-S961.221_contig_6508398_6		rank: C;basic membrane protein A and related proteins (db=kegg)
27541	MEGAHIT-MetaBAT2-S961.221_contig_6508402_17		rank: C;small subunit ribosomal protein S3 (db=kegg)
27542	MEGAHIT-MetaBAT2-S961.221_contig_6508402_39		rank: C;small subunit ribosomal protein S4 (db=kegg)
27543	MEGAHIT-MetaBAT2-S961.221_contig_6508402_40		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
27544	MEGAHIT-MetaBAT2-S961.221_contig_6508402_6		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
27545	MEGAHIT-MetaBAT2-S961.221_contig_6508418_29		rank: E
27546	MEGAHIT-MetaBAT2-S961.221_contig_6508420_1		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)
27547	MEGAHIT-MetaBAT2-S961.221_contig_6508436_1		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
27548	MEGAHIT-MetaBAT2-S961.221_contig_6508437_6		rank: E
27549	MEGAHIT-MetaBAT2-S961.221_contig_6508447_10		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)
27550	MEGAHIT-MetaBAT2-S961.221_contig_6508447_3		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
27551	MEGAHIT-MetaBAT2-S961.221_contig_6508452_2		rank: C;uncharacterized protein (db=kegg)
27552	MEGAHIT-MetaBAT2-S961.221_contig_6508452_4		rank: C;5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45] (db=kegg)
27553	MEGAHIT-MetaBAT2-S961.221_contig_6508455_1		rank: D;S-layer homology domain [PF00395.25] (db=pfam)
27554	MEGAHIT-MetaBAT2-S961.221_contig_6508456_12		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2] (db=kegg)
27555	MEGAHIT-MetaBAT2-S961.221_contig_6508457_12		rank: C;amidase [EC:3.5.1.4] (db=kegg)
27556	MEGAHIT-MetaBAT2-S961.221_contig_6508457_24		rank: C;maltose transport system substrate-binding protein (db=kegg)
27557	MEGAHIT-MetaBAT2-S961.221_contig_6508457_29		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2];Rubredoxin [PF00301.25] (db=pfam)
27558	MEGAHIT-MetaBAT2-S961.221_contig_6508467_6		rank: D;Polymer-forming cytoskeletal [PF04519.18] (db=pfam)
27559	MEGAHIT-MetaBAT2-S961.221_contig_6508482_10		rank: D;FAD binding domain in molybdopterin dehydrogenase [PF00941.26];CO dehydrogenase flavoprotein C-terminal domain [PF03450.22] (db=pfam)
27560	MEGAHIT-MetaBAT2-S961.221_contig_6508482_12		rank: D;Carboxyl transferase domain [PF01039.27];Acetyl co-enzyme A carboxylase carboxyltransferase-like [PF03255.19] (db=pfam)
27561	MEGAHIT-MetaBAT2-S961.221_contig_6508482_17		rank: C;FdrA protein (db=kegg)
27562	MEGAHIT-MetaBAT2-S961.221_contig_6508482_19		rank: D;Protein of unknown function (DUF1116) [PF06545.16] (db=pfam)
27563	MEGAHIT-MetaBAT2-S961.221_contig_6508482_20		rank: C;arylformamidase [EC:3.5.1.9] (db=kegg)
27564	MEGAHIT-MetaBAT2-S961.221_contig_6508482_23		rank: C;elongation factor G (db=kegg)
27565	MEGAHIT-MetaBAT2-S961.221_contig_6508482_7		rank: C;uracil permease (db=kegg)
27566	MEGAHIT-MetaBAT2-S961.221_contig_6508482_8		rank: D;Molybdopterin cofactor-binding domain [PF02738.23];Molybdopterin cofactor-binding domain [PF20256.3];Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.27] (db=pfam)
27567	MEGAHIT-MetaBAT2-S961.221_contig_6508483_4	MEGAHIT-MetaBAT2-S972.108_contig_4175487_4, group4_bins.141_contig_3115323_2	rank: C;stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1] (db=kegg)
27568	MEGAHIT-MetaBAT2-S961.221_contig_6508496_8		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)
27569	MEGAHIT-MetaBAT2-S961.221_contig_6508509_1		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
27570	MEGAHIT-MetaBAT2-S961.221_contig_6508532_10		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)
27571	MEGAHIT-MetaBAT2-S961.221_contig_6508532_12		rank: C;acetyl-CoA C-acetyltransferase [EC:2.3.1.9] (db=kegg)
27572	MEGAHIT-MetaBAT2-S961.221_contig_6508532_7		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)
27573	MEGAHIT-MetaBAT2-S961.221_contig_6508532_8		rank: C;electron transfer flavoprotein beta subunit (db=kegg)
27574	MEGAHIT-MetaBAT2-S961.221_contig_6508532_9		rank: C;butyryl-CoA dehydrogenase [EC:1.3.8.1] (db=kegg)
27575	MEGAHIT-MetaBAT2-S961.221_contig_6508534_28		rank: E
27576	MEGAHIT-MetaBAT2-S961.221_contig_6508539_10		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)
27577	MEGAHIT-MetaBAT2-S961.221_contig_6508546_2		rank: C;small subunit ribosomal protein S1 (db=kegg)
27578	MEGAHIT-MetaBAT2-S961.221_contig_6508548_18		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)
27579	MEGAHIT-MetaBAT2-S961.221_contig_6508554_11		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
27580	MEGAHIT-MetaBAT2-S961.221_contig_6508554_19		rank: C;cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21] (db=kegg)
27581	MEGAHIT-MetaBAT2-S962.117_contig_4866319_3	MEGAHIT-MetaBAT2-S985.88_contig_2302468_4	rank: C;phosphate transport system permease protein (db=kegg)
27582	MEGAHIT-MetaBAT2-S962.117_contig_4866320_1	MEGAHIT-MetaBAT2-S985.88_contig_2302503_6, group8_bins.266_contig_244805_21	rank: C;seryl-tRNA synthetase [EC:6.1.1.11] (db=kegg)
27583	MEGAHIT-MetaBAT2-S962.117_contig_4866322_15		rank: C;bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157] (db=kegg)
27584	MEGAHIT-MetaBAT2-S962.117_contig_4866322_6		rank: C;UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7] (db=kegg)
27585	MEGAHIT-MetaBAT2-S962.117_contig_4866322_7		rank: C;CTP synthase [EC:6.3.4.2] (db=kegg)
27586	MEGAHIT-MetaBAT2-S962.117_contig_4866323_16		rank: E
27587	MEGAHIT-MetaBAT2-S962.117_contig_4866323_19		rank: C;large subunit ribosomal protein L21 (db=kegg)
27588	MEGAHIT-MetaBAT2-S962.117_contig_4866323_2		rank: C;5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] (db=kegg)
27589	MEGAHIT-MetaBAT2-S962.117_contig_4866323_21		rank: C;large subunit ribosomal protein L27 (db=kegg)
27590	MEGAHIT-MetaBAT2-S962.117_contig_4866323_25		rank: D;Asp23 family, cell envelope-related function [PF03780.18] (db=pfam)
27591	MEGAHIT-MetaBAT2-S962.117_contig_4866323_4		rank: C;glucokinase [EC:2.7.1.2] (db=kegg)
27592	MEGAHIT-MetaBAT2-S962.117_contig_4866323_44	MEGAHIT-MetaBAT2-S985.88_contig_2302506_20, group8_bins.266_contig_244955_7	rank: C;ribulose-phosphate 3-epimerase [EC:5.1.3.1] (db=kegg)
27593	MEGAHIT-MetaBAT2-S962.117_contig_4866323_49		rank: C;phosphate acyltransferase [EC:2.3.1.274] (db=kegg)
27594	MEGAHIT-MetaBAT2-S962.117_contig_4866323_56		rank: C;small subunit ribosomal protein S16 (db=kegg)
27595	MEGAHIT-MetaBAT2-S962.117_contig_4866323_6		rank: D;Protein of unknown function (DUF3042) [PF11240.13] (db=pfam)
27596	MEGAHIT-MetaBAT2-S962.117_contig_4866323_62		rank: C;large subunit ribosomal protein L19 (db=kegg)
27597	MEGAHIT-MetaBAT2-S962.117_contig_4866323_8		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)
27598	MEGAHIT-MetaBAT2-S962.117_contig_4866323_9		rank: C;glutamyl-tRNA synthetase [EC:6.1.1.17] (db=kegg)
27599	MEGAHIT-MetaBAT2-S962.117_contig_4866326_2		rank: E
27600	MEGAHIT-MetaBAT2-S962.117_contig_4866329_7		rank: C;phosphocarrier protein HPr (db=kegg)
27601	MEGAHIT-MetaBAT2-S962.117_contig_4866330_10		rank: D;Inactive DUF488-N3 subclade [PF22752.1];Active DUF488-N3 subclade [PF22751.1];Domain of unknown function DUF488 [PF04343.18] (db=pfam)
27602	MEGAHIT-MetaBAT2-S962.117_contig_4866333_2		rank: C;aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (db=kegg)
27603	MEGAHIT-MetaBAT2-S962.117_contig_4866333_4		rank: C;dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14] (db=kegg)
27604	MEGAHIT-MetaBAT2-S962.117_contig_4866334_1		rank: C;xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] (db=kegg)
27605	MEGAHIT-MetaBAT2-S962.117_contig_4866336_1		rank: E
27606	MEGAHIT-MetaBAT2-S962.117_contig_4866336_11		rank: D;Cyclic-di-AMP receptor [PF06153.16] (db=pfam)
27607	MEGAHIT-MetaBAT2-S962.117_contig_4866336_17		rank: C;polyphosphate kinase [EC:2.7.4.1] (db=kegg)
27608	MEGAHIT-MetaBAT2-S962.117_contig_4866336_19		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)
27609	MEGAHIT-MetaBAT2-S962.117_contig_4866336_3		rank: C;ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1] (db=kegg)
27610	MEGAHIT-MetaBAT2-S962.117_contig_4866336_30		rank: C;redox-sensing transcriptional repressor (db=kegg)
27611	MEGAHIT-MetaBAT2-S962.117_contig_4866336_33		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
27612	MEGAHIT-MetaBAT2-S962.117_contig_4866336_43		rank: C;ribosome hibernation promoting factor (db=kegg)
27613	MEGAHIT-MetaBAT2-S962.117_contig_4866336_44		rank: C;preprotein translocase subunit SecA [EC:7.4.2.8] (db=kegg)
27614	MEGAHIT-MetaBAT2-S962.117_contig_4866336_48		rank: C;HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-] (db=kegg)
27615	MEGAHIT-MetaBAT2-S962.117_contig_4866336_51		rank: D;Nucleotidyl transferase [PF00483.28];MobA-like NTP transferase domain [PF12804.12] (db=pfam)
27616	MEGAHIT-MetaBAT2-S962.117_contig_4866336_59		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)
27617	MEGAHIT-MetaBAT2-S962.117_contig_4866336_75		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
27618	MEGAHIT-MetaBAT2-S962.117_contig_4866338_6		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)
27619	MEGAHIT-MetaBAT2-S962.117_contig_4866341_1		rank: C;L-arabinose isomerase [EC:5.3.1.4] (db=kegg)
27620	MEGAHIT-MetaBAT2-S962.117_contig_4866341_15		rank: D;CoA-transferase family III [PF02515.22] (db=pfam)
27621	MEGAHIT-MetaBAT2-S962.117_contig_4866341_5		rank: D;Universal stress protein family [PF00582.31] (db=pfam)
27622	MEGAHIT-MetaBAT2-S962.117_contig_4866346_11		rank: C;NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9] (db=kegg)
27623	MEGAHIT-MetaBAT2-S962.117_contig_4866346_14		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)
27624	MEGAHIT-MetaBAT2-S962.117_contig_4866346_2		rank: C;small subunit ribosomal protein S4 (db=kegg)
27625	MEGAHIT-MetaBAT2-S962.117_contig_4866347_10		rank: C;ornithine carbamoyltransferase [EC:2.1.3.3] (db=kegg)
27626	MEGAHIT-MetaBAT2-S962.117_contig_4866347_11		rank: C;carbamate kinase [EC:2.7.2.2] (db=kegg)
27627	MEGAHIT-MetaBAT2-S962.117_contig_4866347_7		rank: C;xylose isomerase [EC:5.3.1.5] (db=kegg)
27628	MEGAHIT-MetaBAT2-S962.117_contig_4866348_13		rank: C;large subunit ribosomal protein L20 (db=kegg)
27629	MEGAHIT-MetaBAT2-S962.117_contig_4866348_15		rank: C;translation initiation factor IF-3 (db=kegg)
27630	MEGAHIT-MetaBAT2-S962.117_contig_4866348_21	MEGAHIT-MetaBAT2-S985.88_contig_2302487_6, group8_bins.266_contig_244878_4	rank: C;DNA polymerase I [EC:2.7.7.7] (db=kegg)
27631	MEGAHIT-MetaBAT2-S962.117_contig_4866348_24		rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)
27632	MEGAHIT-MetaBAT2-S962.117_contig_4866348_31		rank: C;myo-inositol catabolism protein IolS [EC:1.1.1.-] (db=kegg)
27633	MEGAHIT-MetaBAT2-S962.117_contig_4866348_7		rank: C;ribosome-associated protein (db=kegg)
27634	MEGAHIT-MetaBAT2-S962.117_contig_4866350_3		rank: C;cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79] (db=kegg)
27635	MEGAHIT-MetaBAT2-S962.117_contig_4866351_32		rank: D;Acetyltransferase (GNAT) family [PF00583.30];Acetyltransferase (GNAT) domain [PF13302.12];Acetyltransferase (GNAT) domain [PF13420.12] (db=pfam)
27636	MEGAHIT-MetaBAT2-S962.117_contig_4866351_37		rank: C;fatty acid kinase fatty acid binding subunit (db=kegg)
27637	MEGAHIT-MetaBAT2-S962.117_contig_4866353_11		rank: C;arginyl-tRNA synthetase [EC:6.1.1.19] (db=kegg)
27638	MEGAHIT-MetaBAT2-S962.117_contig_4866353_12		rank: D;Phosphomethylpyrimidine kinase [PF08543.17];pfkB family carbohydrate kinase [PF00294.29] (db=pfam)
27639	MEGAHIT-MetaBAT2-S962.117_contig_4866353_13		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)
27640	MEGAHIT-MetaBAT2-S962.117_contig_4866353_26		rank: C;ribokinase [EC:2.7.1.15] (db=kegg)
27641	MEGAHIT-MetaBAT2-S962.117_contig_4866353_3		rank: C;ABC-2 type transport system ATP-binding protein (db=kegg)
27642	MEGAHIT-MetaBAT2-S962.117_contig_4866353_31		rank: D;Universal stress protein family [PF00582.31] (db=pfam)
27643	MEGAHIT-MetaBAT2-S962.117_contig_4866353_32		rank: C;beta-Ala-Xaa dipeptidase [EC:3.4.13.-] (db=kegg)
27644	MEGAHIT-MetaBAT2-S962.117_contig_4866353_4		rank: C;histidine triad (HIT) family protein [EC:3.9.1.-] (db=kegg)
27645	MEGAHIT-MetaBAT2-S962.117_contig_4866353_6		rank: C;foldase protein PrsA [EC:5.2.1.8] (db=kegg)
27646	MEGAHIT-MetaBAT2-S962.117_contig_4866355_4		rank: C;pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9] (db=kegg)
27647	MEGAHIT-MetaBAT2-S962.117_contig_4866355_6		rank: C;adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)
27648	MEGAHIT-MetaBAT2-S962.117_contig_4866355_7		rank: C;GMP reductase [EC:1.7.1.7] (db=kegg)
27649	MEGAHIT-MetaBAT2-S962.117_contig_4866355_8		rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Pyridine nucleotide-disulphide oxidoreductase [PF00070.32];Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.27];L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase [PF13434.11];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11] (db=pfam)
27650	MEGAHIT-MetaBAT2-S962.117_contig_4866356_2		rank: C;manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1] (db=kegg)
27651	MEGAHIT-MetaBAT2-S962.117_contig_4866357_4		rank: C;scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-] (db=kegg)
27652	MEGAHIT-MetaBAT2-S962.117_contig_4866358_13		rank: C;uncharacterized protein (db=kegg)
27653	MEGAHIT-MetaBAT2-S962.117_contig_4866361_16		rank: C;glycerol dehydrogenase [EC:1.1.1.6] (db=kegg)
27654	MEGAHIT-MetaBAT2-S962.117_contig_4866361_8		rank: E
27655	MEGAHIT-MetaBAT2-S962.117_contig_4866362_17		rank: C;galactokinase [EC:2.7.1.6] (db=kegg)
27656	MEGAHIT-MetaBAT2-S962.117_contig_4866362_18		rank: D;Galactose-1-phosphate uridyl transferase, C-terminal domain [PF02744.22];Galactose-1-phosphate uridyl transferase, N-terminal domain [PF01087.27];Domain of unknown function (DUF4922) [PF16269.10] (db=pfam)
27657	MEGAHIT-MetaBAT2-S962.117_contig_4866362_23		rank: D;Universal stress protein family [PF00582.31] (db=pfam)
27658	MEGAHIT-MetaBAT2-S962.117_contig_4866371_15		rank: C;nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-] (db=kegg)
27659	MEGAHIT-MetaBAT2-S962.117_contig_4866371_16		rank: C;nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-] (db=kegg)
27660	MEGAHIT-MetaBAT2-S962.117_contig_4866371_3		rank: C;MFS transporter, NNP family, nitrate/nitrite transporter (db=kegg)
27661	MEGAHIT-MetaBAT2-S962.117_contig_4866372_8		rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)
27662	MEGAHIT-MetaBAT2-S962.117_contig_4866375_5		rank: C;arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89] (db=kegg)
27663	MEGAHIT-MetaBAT2-S962.117_contig_4866377_6		rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)
27664	MEGAHIT-MetaBAT2-S962.117_contig_4866378_3		rank: C;alpha-galactosidase [EC:3.2.1.22] (db=kegg)
27665	MEGAHIT-MetaBAT2-S962.117_contig_4866378_4		rank: C;putative membrane protein (db=kegg)
27666	MEGAHIT-MetaBAT2-S962.117_contig_4866379_10		rank: C;small subunit ribosomal protein S6 (db=kegg)
27667	MEGAHIT-MetaBAT2-S962.117_contig_4866379_11		rank: C;DNA gyrase subunit A [EC:5.6.2.2] (db=kegg)
27668	MEGAHIT-MetaBAT2-S962.117_contig_4866379_23		rank: C;asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4] (db=kegg)
27669	MEGAHIT-MetaBAT2-S962.117_contig_4866379_24		rank: C;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7] (db=kegg)
27670	MEGAHIT-MetaBAT2-S962.117_contig_4866379_25		rank: C;D-aspartate ligase [EC:6.3.1.12] (db=kegg)
27671	MEGAHIT-MetaBAT2-S962.117_contig_4866379_6		rank: C;large subunit ribosomal protein L9 (db=kegg)
27672	MEGAHIT-MetaBAT2-S962.117_contig_4866380_3		rank: C;sucrose phosphorylase [EC:2.4.1.7] (db=kegg)
27673	MEGAHIT-MetaBAT2-S962.117_contig_4866381_11		rank: C;adenosylhomocysteine nucleosidase [EC:3.2.2.9] (db=kegg)
27674	MEGAHIT-MetaBAT2-S962.117_contig_4866381_15		rank: C;isoleucyl-tRNA synthetase [EC:6.1.1.5] (db=kegg)
27675	MEGAHIT-MetaBAT2-S962.117_contig_4866381_20		rank: C;cell division protein FtsZ (db=kegg)
27676	MEGAHIT-MetaBAT2-S962.117_contig_4866381_21		rank: C;cell division protein FtsA (db=kegg)
27677	MEGAHIT-MetaBAT2-S962.117_contig_4866381_33		rank: C;23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187] (db=kegg)
27678	MEGAHIT-MetaBAT2-S962.117_contig_4866381_34		rank: C;6-phosphogluconolactonase [EC:3.1.1.31] (db=kegg)
27679	MEGAHIT-MetaBAT2-S962.117_contig_4866381_4		rank: C;ribose-phosphate pyrophosphokinase [EC:2.7.6.1] (db=kegg)
27680	MEGAHIT-MetaBAT2-S962.117_contig_4866388_14		rank: C;DNA-binding protein HU-beta (db=kegg)
27681	MEGAHIT-MetaBAT2-S962.117_contig_4866388_15		rank: C;GTPase (db=kegg)
27682	MEGAHIT-MetaBAT2-S962.117_contig_4866388_16		rank: C;small subunit ribosomal protein S1 (db=kegg)
27683	MEGAHIT-MetaBAT2-S962.117_contig_4866388_28		rank: C;pyruvate kinase [EC:2.7.1.40] (db=kegg)
27684	MEGAHIT-MetaBAT2-S962.117_contig_4866388_34		rank: C;aminotransferase [EC:2.6.1.-] (db=kegg)
27685	MEGAHIT-MetaBAT2-S962.117_contig_4866389_26		rank: D;E1-E2 ATPase [PF00122.25];Cation transporting ATPase, C-terminus [PF00689.26];haloacid dehalogenase-like hydrolase [PF00702.31];Cation transport ATPase (P-type) [PF13246.11];Cation transporter/ATPase, N-terminus [PF00690.31];haloacid dehalogenase-like hydrolase [PF08282.17] (db=pfam)
27686	MEGAHIT-MetaBAT2-S962.117_contig_4866389_27		rank: C;starvation-inducible DNA-binding protein (db=kegg)
27687	MEGAHIT-MetaBAT2-S962.117_contig_4866389_3		rank: D;Histidine phosphatase superfamily (branch 1) [PF00300.27] (db=pfam)
27688	MEGAHIT-MetaBAT2-S962.117_contig_4866389_34		rank: D;Inosine-uridine preferring nucleoside hydrolase [PF01156.24] (db=pfam)
27689	MEGAHIT-MetaBAT2-S962.117_contig_4866389_35		rank: C;3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53] (db=kegg)
27690	MEGAHIT-MetaBAT2-S962.117_contig_4866389_51		rank: C;lipoate---protein ligase [EC:6.3.1.20] (db=kegg)
27691	MEGAHIT-MetaBAT2-S962.117_contig_4866389_52		rank: D;Universal stress protein family [PF00582.31] (db=pfam)
27692	MEGAHIT-MetaBAT2-S962.117_contig_4866389_7		rank: C;D-lactate dehydrogenase [EC:1.1.1.28] (db=kegg)
27693	MEGAHIT-MetaBAT2-S962.117_contig_4866389_9		rank: D;Transcriptional regulator C-terminal region [PF14278.11];Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)
27694	MEGAHIT-MetaBAT2-S962.117_contig_4866390_10		rank: D;FAD binding domain [PF00890.29];HI0933-like protein Rossmann domain [PF03486.19];FAD dependent oxidoreductase [PF01266.29];FAD dependent oxidoreductase [PF12831.12];Thi4 family [PF01946.22];Flavin-binding monooxygenase-like [PF00743.24] (db=pfam)
27695	MEGAHIT-MetaBAT2-S962.117_contig_4866390_11		rank: C;fumarate hydratase, class II [EC:4.2.1.2] (db=kegg)
27696	MEGAHIT-MetaBAT2-S962.117_contig_4866390_14		rank: C;peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] (db=kegg)
27697	MEGAHIT-MetaBAT2-S962.117_contig_4866390_16		rank: D;Plasmid pRiA4b ORF-3-like protein [PF07929.16] (db=pfam)
27698	MEGAHIT-MetaBAT2-S962.117_contig_4866390_9		rank: C;divalent anion:Na+ symporter, DASS family (db=kegg)
27699	MEGAHIT-MetaBAT2-S962.117_contig_4866398_11		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)
